,"Sport catch of Coho Salmon in Oregon streams and rivers, 2008-2020",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Code,Waterbody,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
(Based upon calendar year),(Based upon calendar year),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Note:  2018 is 'Final' data,,,,,,,,,,,,,,,,,
Code,Code,Waterbody,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,
,,Coastal River Systems,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,ALSEA R & BAY,16,19,11,809,505,"1,421","3,176","1,066",32,38,41,-,,,,,,,,,,,,,,
22,22,N FK ALSEA,-,-,-,-,-,-,10,30,6,6,-,-,,,,,,,,,,,,,,
23,23,S FK ALSEA,-,-,-,-,-,-,-,12,-,-,-,-,,,,,,,,,,,,,,
24,24,APPLEGATE R,-,-,-,-,-,-,10,47,6,-,-,-,,,,,,,,,,,,,,
25,25,BEAVER CR (LINC CO),-,12,-,-,-,53,200,59,-,13,-,-,,,,,,,,,,,,,,
26,26,BEAVER CR (TILL CO),16,4,-,-,8,4,5,18,6,38,-,-,,,,,,,,,,,,,,
27,27,BIG CR (LANE CO),-,-,-,-,-,-,5,12,13,-,-,-,,,,,,,,,,,,,,
28,28,BIG ELK CR (YAQUINA R),-,-,-,-,-,-,-,6,19,13,-,-,,,,,,,,,,,,,,
29,29,BRUSH CR (CURRY CO),-,-,-,-,-,-,15,-,-,-,10,-,,,,,,,,,,,,,,
30,30,CAPE CR,-,-,-,-,-,-,-,6,-,-,-,-,,,,,,,,,,,,,,
31,31,CHETCO R & BAY,16,8,11,7,17,9,40,41,6,6,10,-,,,,,,,,,,,,,,
32,32,COOK CR (NEHALEM R),-,-,-,-,-,-,-,6,13,-,-,-,,,,,,,,,,,,,,
33,33,COOS R & BAY,39,"1,213",46,"1,321",980,715,"3,572","2,250",78,50,112,-,,,,,,,,,,,,,,
34,34,S FK COOS,-,-,-,-,-,31,35,41,-,-,-,-,,,,,,,,,,,,,,
35,35,COQUILLE R & BAY,16,"1,405",966,502,630,901,"2,014","1,249",13,38,20,-,,,,,,,,,,,,,,
36,36,N FK COQUILLE,-,-,-,-,-,-,-,6,-,-,-,-,,,,,,,,,,,,,,
37,37,E FK COQUILLE,-,-,-,-,-,-,-,6,6,-,-,-,,,,,,,,,,,,,,
38,38,S FK COQUILLE,-,4,-,3,-,4,10,12,-,13,-,-,,,,,,,,,,,,,,
39,39,MID FK COQUILLE,-,-,-,-,-,-,-,12,-,-,-,-,,,,,,,,,,,,,,
40,40,CUMMINS CR,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
41,41,DEVILS LK,-,-,-,-,-,-,-,6,-,-,-,-,,,,,,,,,,,,,,
42,42,DEADWOOD CR (SIUSLAW R),-,-,-,-,-,-,-,6,-,-,-,-,,,,,,,,,,,,,,
43,43,DRIFT CR (ALSEA R),-,-,-,-,-,-,-,24,-,-,-,-,,,,,,,,,,,,,,
44,44,DRIFT CR (SILETZ R),-,-,-,-,-,-,-,6,-,-,-,-,,,,,,,,,,,,,,
45,45,EEL CR & LAKE,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
46,46,ELK CR (CLATSOP CO),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
47,47,ELK R,8,8,-,10,-,13,10,41,6,-,-,-,,,,,,,,,,,,,,
48,48,EUCHRE CR,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
49,49,FALL CR (ALSEA R),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
50,50,FIVE R (ALSEA R),-,-,-,-,-,-,-,12,-,-,-,-,,,,,,,,,,,,,,
51,51,FLORAS CR & LK,-,-,-,-,-,-,5,24,-,-,-,-,,,,,,,,,,,,,,
52,52,COW CREEK,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
53,53,FOURMILE CR (COOS CO),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
54,54,HUNTER CR,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
55,55,ILLINOIS R,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
56,56,INDIAN CR (SIUSLAW R),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
57,57,KILCHIS R,-,-,-,-,-,-,5,-,13,6,-,-,,,,,,,,,,,,,,
58,58,LAKE CR (SIUSLAW R),-,-,-,-,-,4,5,-,-,-,-,-,,,,,,,,,,,,,,
59,59,LOBSTER CR (ALSEA R),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
60,60,MIAMI R,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
61,61,MIDDLE CR (COQUILLE R),-,-,-,-,-,-,-,6,-,-,-,-,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,62.0,MILLICOMA R,-,4,-,14,13,67,60,12,6,-,-,-
