,Stream,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,Stream 1978,Unnamed: 0
Alsea River & Bay,Alsea River & Bay,342,180,717,"1,488","1,593","1,388","1,592","1,074","2,211",655,"1,689","2,656",404,"1,760","1,820","1,911",0,,
N. Fk. Alsea River,N. Fk. Alsea River,19,3,37,28,68,3,23,32,37,15,24,38,12,15,26,45,0,,
S. Fk. Alsea River,S. Fk. Alsea River,3,0,30,37,16,6,6,24,65,44,8,30,6,12,39,8,0,,
Beaver Creek (Lincoln Co),Beaver Creek (Lincoln Co),3,0,0,0,14,3,111,39,18,10,20,41,9,51,54,12,0,,
Beaver Creek (Till. Co),Beaver Creek (Till. Co),6,0,0,0,0,0,0,0,11,0,0,7,6,0,0,0,0,,
Big Creek (Lane Co),Big Creek (Lane Co),34,0,9,23,33,12,19,43,66,40,39,4,13,30,6,0,0,,
Big Elk Creek (Yaquina R),Big Elk Creek (Yaquina R),22,9,64,12,16,3,22,56,75,10,16,41,9,40,96,4,0,,
Cape Creek (Lane Co),Cape Creek (Lane Co),0,0,3,8,0,0,6,0,15,10,4,4,3,0,13,0,0,,
Chetco River & Bay,Chetco River & Bay,5,0,12,4,0,0,9,24,15,34,24,142,63,12,0,0,0,,
Cook Creek (Nehalem R),Cook Creek (Nehalem R),3,3,6,8,6,0,3,16,11,0,0,7,3,70,3,15,0,,
Coos River & Bay,Coos River & Bay,85,15,98,258,"2,418",531,581,"1,949","6,607",979,335,"1,225",913,"8,575","1,102","1,486",107,,
S Fk. Coos River,S Fk. Coos River,44,3,86,20,3,19,41,71,109,44,47,137,88,189,316,0,0,,
Coquille River & Bay,Coquille River & Bay,135,57,115,98,204,377,799,121,202,296,611,288,450,687,377,930,0,,
N. Fk. Coquille River,N. Fk. Coquille River,6,0,12,8,36,6,108,58,25,5,12,40,22,42,24,12,0,,
E. Fk. Coquille River,E. Fk. Coquille River,6,3,0,0,0,0,38,4,55,29,8,15,31,37,6,0,0,,
