1,ASTORIA,8713,4773,2873,1651,5337,11629,32865,16793,29050,18644,11729,5899,20178
2,NEHALEM BAY,0,19,22,47,45,90,533,297,790,366,90,43,630
3,GARIBALDI,323,84,70,133,233,368,5766,2943,9632,7691,563,835,8585
4,NETARTS BAY,0,0,0,0,3,13,15,32,39,28,4,0,12
5,CAPE KIWANDA & PACIFIC CITY,0,0,0,0,397,1224,3033,1659,6289,3073,208,390,3601
6,SALMON RIVER,0,0,0,0,15,16,128,98,165,83,4,18,74
7,SILETZ BAY,0,0,0,0,3,0,48,15,67,16,15,11,8
8,DEPOE BAY,0,0,0,0,403,2752,5610,2471,9219,6714,469,944,6835
9,NEWPORT,0,0,0,0,2669,7103,11332,5758,18875,12125,459,2591,7279
10,WALDPORT,0,0,0,0,12,19,51,6,39,39,4,18,12
11,FLORENCE,0,0,0,0,274,722,1688,607,2284,1043,60,473,1866
12,WINCHESTER,0,0,0,0,295,2186,8773,3500,13885,4494,935,2720,9037
13,CHARLESTON,0,0,0,0,262,1706,5411,1524,5220,2137,397,425,2487
14,BANDON,0,0,0,0,0,27,352,69,324,263,28,7,123
15,PORT ORFORD,0,0,0,0,3,3,3,3,9,22,8,8,4
16,GOLD BEACH,0,0,0,0,3,47,12,3,9,32,4,0,0
17,BROOKINGS,0,0,0,0,0,16,18,15,15,675,84,426,1711
21,ALSEA R & BAY,62,29,118,59,18,53,169,38,154,66,47,29,36
22,N FK ALSEA,0,0,0,0,0,0,0,0,0,0,0,0,0
23,S FK ALSEA,0,0,0,0,0,0,0,0,0,0,0,0,0
24,APPLEGATE R,0,0,0,0,0,0,0,0,0,0,0,0,0
25,BEAVER CR (LINC CO),6,13,3,0,3,3,15,9,6,3,0,4,4
26,BEAVER CR (TILL CO),3,0,0,0,0,17,12,9,6,3,4,0,0
27,BIG CR (LANE CO),0,0,0,0,0,0,0,0,0,0,0,0,0
28,BIG ELK CR (YAQUINA R),0,0,0,0,0,0,0,0,0,0,0,0,0
29,BRUSH CR (CURRY CO),0,0,0,0,0,0,0,0,0,0,0,0,0
30,CAPE CR,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CHETCO R & BAY,45,12,32,3,3,0,30,32,18,77,29,4,8
32,COOK CR (NEHALEM R),0,0,0,0,0,0,0,0,0,0,0,0,0
33,COOS R & BAY,519,473,61,32,51,94,221,262,389,203,122,51,12
34,S FK COOS,0,0,0,0,0,0,0,0,0,0,0,0,0
35,COQUILLE R & BAY,16,22,16,20,47,84,196,90,122,117,65,40,47
36,N FK COQUILLE,0,0,0,0,0,0,0,0,0,0,0,0,0
37,E FK COQUILLE,0,0,0,0,0,0,0,0,0,0,0,0,0
38,S FK COQUILLE,3,0,3,6,0,3,3,6,6,6,4,4,4
39,MID FK COQUILLE,0,0,0,0,0,0,0,0,0,0,0,0,0
40,CUMMINS CR,0,0,0,0,0,0,0,0,0,0,0,0,0
41,DEVILS LK,3,5,13,3.1,0,0.1,6,0.2,0.3,0.4,0.5,0.6,0.7
42,DEADWOOD CR (SIUSLAW R),0,0,0,0,0,0,0,0,0,0,0,0,0
43,DRIFT CR (ALSEA R),0,10,0,0,0,0,0,0,0,0,0,0,0
44,DRIFT CR (SILETZ R),0,0,0,0,0,0,0,0,0,0,0,0,0
45,EEL LAKE,55,0,0,0,0,0,3,0,0,0,0,0,0
46,ELK CR (CLATSOP CO),0,0,0,0,0,0,0,0,0,0,0,0,0
47,ELK R,3,5,10,0,9,3,15,6,21,6,4,0,4
48,EUCHRE CR,0,0,0,0,0,0,0,0,0,0,0,0,0
49,FALL CR (ALSEA R),0,268,836,127,171,0,0,0,0,0,0,0,0
50,FIVE R (ALSEA R),0,0,0,0,0,0,0,0,0,0,0,0,0
51,FLORAS CR & LK,0,0,0,0,0,0,0,0,0,0,0,0,0
52,COW CREEK,0,0,0,0,0,0,0,0,0,0,0,0,0
53,FOURMILE CR (COOS CO),0,0,0,0,0,0,0,0,0,0,0,0,0
54,HUNTER CR,0,0,0,0,0,0,0,0,0,0,0,0,0
55,ILLINOIS R,0,0,0,0,0,0,0,0,0,0,0,0,0
56,INDIAN CR (SIUSLAW R),0,0,0,0,0,0,0,0,0,0,0,0,0
57,KILCHIS R,0,0,0,0,0,0,0,0,0,0,0,0,0
58,LAKE CR (SIUSLAW R),0,0,0,0,0,0,0,0,0,0,0,0,0
59,LOBSTER CR (ALSEA R),0,0,0,0,0,0,0,0,0,0,0,0,0
60,MIAMI R,0,0,0,0,0,0,0,0,0,0,0,0,0
61,MIDDLE CR (COQUILLE R),0,0,0,0,0,0,0,0,0,0,0,0,0
62,MILLICOMA R,3,6,0,6,6,0,9,0,3,3,11,0,0
63,E FK MILLICOMA,0,0,0,0,0,0,0,0,0,0,0,0,0
64,W FK MILLICOMA,0,0,0,0,0,0,0,0,0,0,0,0,0
65,NECANICUM R,0,0,0,0,0,0,0,0,0,0,0,0,0
66,26/ELSIE,61,11,25,159,133,66,1469,364,661,130,118,82,73
67,N FK NEHALEM,642,680,490,185,71,26,247,29,30,207,86,22,19
68,MUNSEL L,0,0,0,0,0,0,0,0,0,0,0,0,0
69,NESTUCCA R & BAY,0,0,0,0,0,22,33,18,30,45,11,22,24
70,LITTLE NESTUCCA,0,0,0,0,0,0,0,0,0,0,0,0,0
71,PISTOL R,0,0,0,0,0,0,0,0,0,0,0,0,0
72,ROCK CR (LANE CO),0,0,0,0,0,0,0,0,0,0,0,0,0
73,ROCK CR (NEHALEM),0,0,0,0,0,0,0,0,0,0,0,0,0
74,ROCK CK (SILETZ R),0,0,0,0,0,0,0,0,0,0,0,0,0
77,SALMON R (COAST),5,6,10,274,132,128,229,581,434,352,420,668,260
78,SALMONBERRY R,0,0,0,0,0,0,0,0,0,0,0,0,0
79,SAND LAKE,0,0,0,0,0,0,0,0,0,0,0,0,0
80,SCHOONER CR (SILETZ R),0,0,0,0,0,0,0,0,0,0,0,0,0
81,SILETZ R & BAY,3,16,3,47,15,20,72,23,42,37,48,72,52
82,N FK SILETZ,0,0,0,0,0,0,0,0,0,0,0,0,0
83,S FK SILETZ,0,0,0,0,0,0,0,0,0,0,0,0,0
84,SILTCOOS R & LK,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,720,601,336,263
85,SIUSLAW R & BAY,37,42,38,21,18,67,57,21,92,41,40,73,114
86,N FK SIUSLAW,0,0,0,0,0,0,0,0,0,0,0,0,0
87,SIXES R,3,9,0,0,6,0,15,9,3,19,0,8,8
89,SMITH R,3,0,0,0,0,0,3,0,9,3,0,8,4
90,N FK SMITH,0,0,0,0,0,0,0,0,0,0,0,0,0
91,SUTTON CR & LK,0,0,0,0,0,0,0,0,0,0,0,0,0
92,SWEET CR (SIUSLAW R),0,0,0,0,0,0,0,0,0,0,0,0,0
93,TAHKENITCH CR & LK,0,0,0,0,0,0,0,0,0,139,58,64,140
94,TENMILE CR & LK (COOS CO),0,0,0,0,0,0,0,0,0,0,0,0,0
95,TENMILE CR (LANE CO),0,0,0,0,0,0,0,0,0,0,0,0,0
96,THREE R,0,3,0,0,0,0,0,0,0,0,0,0,0
97,TILLAMOOK BAY,0,0,0,0,0,283,1236,933,590,254,129,68,100
98,TILLAMOOK R,0,0,0,0,0,0,0,0,0,0,0,0,4
99,TRASK R,0,0,0,0,0,0,0,0,0,0,0,0,4
100,N FK TRASK,0,0,0,0,0,0,0,0,0,0,0,0,0
101,S FK TRASK,0,0,0,0,0,0,0,0,0,0,0,0,0
102,UMPQUA R & BAY,393,505,344,804,524,1170,12912,1993,2503,1719,963,2076,925
103,DAM,11,11,3,41,21,77,113,21,50,19,39,26,8
104,S FK UMPQUA,3,0,0,0,0,3,0,15,3,9,0,4,0
105,WILSON R,0,0,3,0,6,3,30,21,6,26,22,11,27
106,S FK WILSON R.,0,0,0,-,-,-,-,-,-,-,0,0,0
107,LITTLE N FK (WILSON),0,0,0,0,0,0,0,0,0,0,0,0,0
108,WINCHUCK R,0,0,0,0,0,0,0,0,0,0,0,0,0
109,WOAHINK LK,0,0,0,0,0,0,0,0,0,0,0,0,0
110,YACHATS R,0,0,0,0,0,0,0,0,0,0,0,0,0
111,YAQUINA R & BAY,9,343,161,1715,6,53,116,58,101,73,37,26,85
201,ROCK CR,189,244,182,115,107,240,954,286,874,396,482,344,152
204,NEHALEM R ABOVE HWY 26/ELSIE,0,0,6,3,0,0,9,9,3,9,0,4,0
206,CALAPOOYA CR (UMPQUA R),6,3,0,3,6,3,6,3,3,0,0,0,0
219,SODA SPRINGS,0,0,0,0,6,3,24,6,24,35,4,8,16
224,NESKOWIN CR,0,0,0,0,0,0,0,0,0,0,0,0,0
225,ROGUE BAY UP TO ELEPHANT ROCK,552,150,480,215,271,1039,3188,474,404,1001,144,525,228
226,GRAVE CR,211,218,533,212,177,191,465,272,210,251,177,163,74
227,RAY DAM,58,76,118,32,12,26,240,118,107,108,62,19,46
228,ROGUE R ABOVE GOLD RAY DAM,57,101,60,46,35,47,157,197,158,150,81,55,89
240,ISTHMUS SLOUGH,0,0,0,0,0,0,86,241,168,41,4,22,0
112,ABERNATHY CR (CLACK R),0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.1,0.11,0.12
113,ABIQUA CR (PUDDING R),0,0,0,0,0,0,0,0,0,0,0,0,0
114,BEAR CR (CLATSOP CO),0,0,0,0,0,0,0,0,0,0,0,0,0
115,BEAVER CR (COL CO),0,0,0,0,0,0,0,0,0,0,0,0,0
116,BIG CR (CLATSOP CO),116,98,43,188,50,378,488,668,328,72,53,380,329
117,BULLRUN R,0,0,0,0,0,0,0,0,0,0,0,0,0
118,BUTTE CR (PUDDING R),0,0,0,0,0,0,0,0,0,0,0,0,0
119,CALAPOOIA R,0,0,0,0,0,0,0,0,0,0,0,0,0
120,CATHERINE CR,0,0,0,0,0,0,0,0,0,0,0,0,0
122,CLACKAMAS R BELOW N FK DAM,216,245,174,18,1522,2755,1413,459,142,162,247,924,928
123,CLATSKANIE R,11,0,6,0,15,36,137,38,15,0,11,8,0
124,CLEAR CK (CLACK R),0,0,0,0,0,0,0,0,0,0,0,0,0
129,CRABTREE CR (SANTIAM R),0,0,0,0,0,0,0,0,0,0,0,0,0
130,DEEP CR (CLACK R),0,0,0,0,0,0,0,0,0,0,0,0,0
131,DESCHUTES R BELOW SHERAR'S FALLS,0,0,0,0,0,0,0,0,0,0,0,0,16
132,EAGLE CR (CLACKAMAS R),229,126,166,21,672,3167,3380,755,254,451,644,1288,839
133,EAGLE CR (COLUMBIA R),8,29,222,264,109,37,86,38,12,18,4,14,23
134,FALL CR (WILLAMETTE R),5,0,0,0,3,0,0,0,0,0,0,4,0
135,FIFTEEN MILE CR,0,0,0,0,0,0,0,0,0,0,0,0,0
137,GALES CR (TUALATIN R),0,0,0,0,0,0,0,0,0,0,0,0,0
138,GNAT CR,8,8,16,0,15,6,24,0,6,25,0,0,0
140,HERMAN CR (COLUMBIA R),0,0,0,0,0,0,0,21,360,210,216,205,69
142,E FK HOOD,0,3,3,0,0,0,3,12,6,0,0,0,0
143,W FK HOOD,0,0,0,0,0,0,0,0,0,0,0,39,0
144,IMNAHA R,0,0,0,0,0,0,0,0,0,0,0,0,0
145,JOHN DAY R,0,0,0,0,0,0,0,0,0,0,0,0,0
146,MID FK JOHN DAY,0,0,0,0,0,0,0,0,0,0,0,0,0
147,N FK JOHN DAY,0,0,0,0,0,0,0,0,0,0,0,0,0
148,JOHNSON CR (WILLAMETTE R),0,0,0,0,0,0,0,0,0,0,0,0,0
151,KLASKANINE R,0,34,14,17,0,10,261,222,198,13,47,4,4
152,N FK KLASKANINE,8,11,16,0,3,6,24,118,50,6,35,11,0
153,S FK KLASKANINE,3,5,43,35,0,10,18,0,9,47,0,4,0
154,LEWIS & CLARK R,0,3,0,0,3,0,0,0,0,0,0,0,0
155,MCKENZIE R (BELOW LEABURG DAM),0,0,0,0,0,0,0,0,0,0,0,0,0
156,LUCKIAMUTE R,0,0,0,0,0,0,0,0,0,0,0,0,0
157,MARYS R,0,0,0,0,0,0,0,0,0,0,0,0,0
158,MCKENZIE R (ABOVE LEABURG DAM),0,0,0,0,0,0,0,0,0,0,0,0,0
159,MILL CR (MARION CO),0,0,0,0,0,0,0,0,0,0,0,0,0
161,MILL CR (YAMHILL CO),0,0,0,0,0,0,0,0,0,0,0,0,0
162,MILTON CR (COL CO),0,0,0,0,0,0,0,0,0,0,0,0,0
164,MOLALLA R,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.1,0.11,0.12
165,RICKREALL CR,0,0,0,0,0,0,0,0,0,0,0,0,0
166,PUDDING R,0,0,0,0,0,0,0,0,0,0,0,0,0
167,SALMON R (SANDY R),0,0,0,0,0,0,0,0,0,0,0,0,4
168,SANDY R (BELOW MARMOT DAM),181,11,94,0,92,583,2811,2965,5629,3532,1729,2604,2627
169,SANTIAM R,0,0,0,0,0,0,0,0,0,0,0,0,0
170,N FK SANTIAM,0,0,0,0,0,0,0,0,0,0,0,0,0
171,LITTLE N FK SANTIAM,0,0,0,0,0,0,0,0,0,0,0,0,0
172,S FK SANTIAM,0,0,0,0,0,0,0,0,0,0,0,0,0
173,SCAPPOOSE CR,0,0,0,0,0,0,0,0,0,0,0,0,0
174,N FK SCAPPOOSE,0,0,0,0,0,0,0,0,0,0,0,0,0
175,S FK SCAPPOOSE,0,0,0,0,0,0,0,0,0,0,0,0,0
176,SNAKE R,0,0,0,0,0,0,0,0,0,0,0,0,0
177,SUCKER CR,0,0,0,0,0,0,0,0,0,0,0,0,0
178,TANNER CR,0,0,0,0,0,0,0,0,0,0,0,0,0
179,THOMAS CR (SANT),0,0,0,0,0,0,0,0,0,0,0,0,0
180,TUALATIN R,5,0,0,0,0,3,0,0,0,0,0,4,0
181,UMATILLA R,19,13,26,0,9,0,15,0,3,0,0,0,0
182,WALLA WALLA R,0,0,0,0,0,0,3,0,0,0,4,0,0
184,WENAHA R,0,0,0,0,0,0,0,0,0,0,0,0,0
185,CITY FALLS,36,16,18,55,153,576,253,171,137,94,205,234,434
186,WILLAMETTE R ABOVE OR CITY FALLS,0,0,3,0,0,7,18,3,94,6,11,79,66
188,MID FK WILL,0,0,0,0,0,0,0,0,0,0,0,0,0
189,WILLAMINA CR,0,0,0,0,0,0,0,0,0,0,0,0,0
190,YAMHILL R,0,0,0,0,0,0,0,0,0,0,0,0,0
191,N FK YAMHILL,0,0,0,0,0,0,0,0,0,0,0,0,0
192,S FK YAMHILL,0,0,0,0,0,0,0,0,0,0,0,0,8
193,YOUNGS R & BAY,91,100,22,0,0,16,129,58,101,44,40,11,23
194,TIOGA CR,0,0,0,0,0,0,0,0,0,0,0,0,0
195,SILVER CR,0,0,0,0,0,0,0,0,0,0,0,0,0
202,DAM,5,5,0,0,3,61,36,3,3,26,0,32,20
203,DESCHUTES R ABOVE SHERAR'S FALLS,0,0,0,0,0,0,0,0,0,0,0,0,4
205,SANDY R (ABOVE MARMOT DAM),0,0,0,0,0,0,0,0,0,0,0,0,0
208,JOHN DAY ARM,0,0,0,0,0,0,0,0,0,0,0,0,0
209,L FALL CR (WILLAMETTE),0,0,0,0,0,0,0,0,0,0,0,0,0
