,Unnamed: 0,"Sport catch of Fall Chinook in Oregon streams and rivers, 2007-2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Code,Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19
,,,,,,,,Run Year,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,(2018-2019 numbers are 'Preliminary'),,,,,,,,,,,,,,,,
Code,Code,Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19,,,,,,,,,,,,,,
,,Coastal River Systems,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,ALSEA R & BAY,"2,689",720,848,"2,596","5,505","3,699","6,194","4,640","10,243","3,972","4,052","2,340",,,,,,,,,,,,,,
22,22,N FK ALSEA,112,23,8,39,22,54,80,36,41,39,44,-,,,,,,,,,,,,,,
23,23,S FK ALSEA,8,-,8,11,7,4,13,30,59,39,76,-,,,,,,,,,,,,,,
26,26,BEAVER CR (TILL CO),12,-,4,7,-,13,9,-,36,26,32,-,,,,,,,,,,,,,,
27,27,BIG CR (LANE CO),-,-,-,14,10,13,13,35,118,-,13,-,,,,,,,,,,,,,,
28,28,BIG ELK CR (YAQUINA R),39,4,-,4,10,13,18,5,12,6,13,10,,,,,,,,,,,,,,
29,29,BRUSH CR (CURRY CO),-,-,-,7,-,-,9,5,24,-,-,-,,,,,,,,,,,,,,
30,30,CAPE CR,-,4,-,50,3,13,9,15,-,6,-,10,,,,,,,,,,,,,,
31,31,CHETCO R & BAY,437,410,345,887,793,832,849,"1,302",912,798,879,531,,,,,,,,,,,,,,
32,32,COOK CR (NEHALEM R),4,-,8,11,14,13,22,15,18,13,25,-,,,,,,,,,,,,,,
33,33,COOS R & BAY,"1,629","1,469","1,847","6,518","6,813","5,243","8,685","8,991","13,985","4,296","2,834","1,441",,,,,,,,,,,,,,
34,34,S FK COOS,120,106,307,806,823,571,"1,115",852,"1,232",402,196,31,,,,,,,,,,,,,,
35,35,COQUILLE R & BAY,"1,305","1,007","1,062","3,384","4,316","3,152","3,419","4,051","6,400","2,317","1,698",715,,,,,,,,,,,,,,
36,36,N FK COQUILLE,11,12,11,32,8,8,54,35,83,13,19,-,,,,,,,,,,,,,,
37,37,E FK COQUILLE,15,15,8,14,10,13,4,36,47,26,-,20,,,,,,,,,,,,,,
38,38,S FK COQUILLE,71,23,11,18,43,37,104,122,77,39,25,-,,,,,,,,,,,,,,
39,39,MID FK COQUILLE,12,4,-,11,35,17,13,-,18,-,6,-,,,,,,,,,,,,,,
