,Alsea River & Bay,"1,062","1,353","1,144","1,989","1,652","1,539","2,004","1,623","2,033","2,196","3,196","3,002","2,318","2,473","1,783","2,130",Miami River,145,21,67,28,119,22,54,75,74,316,241,160,206,149,71,142,Yachats R.,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,51,Unnamed: 5,36,29,20 75,Unnamed: 6,38,19,39,51.1,77
N. Fk. Alsea River,N. Fk. Alsea River,91,101,92,226,113,45,67,126,120,49,51,67,85,86,77,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Fk. Alsea River,S. Fk. Alsea River,4,63,61,66,42,47,38,28,83,116,101,48,38,48,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Creek (Lincoln Co),Beaver Creek (Lincoln Co),3,6,3,0,7,0,16,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Creek (Tillamook Co),Beaver Creek (Tillamook Co),6,0,6,12,3,6,0,8,7,5,4,0,29,43,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Creek (Lane Co),Big Creek (Lane Co),25,6,12,37,16,73,41,36,48,54,35,52,0,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Elk Creek (Yaquina R),Big Elk Creek (Yaquina R),60,72,80,68,73,41,54,59,36,108,70,103,60,149,235,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brush Creek (Curry Co),Brush Creek (Curry Co),6,6,0,16,0,0,0,0,4,15,4,4,0,12,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Creek (Lane Co),Cape Creek (Lane Co),9,3,6,8,3,0,9,0,7,5,4,0,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chetco River & Bay,Chetco River & Bay,"5,436","1,538","1,749","1,215","1,436","1,145",966,"1,656",992,"2,047","2,070","2,459","1,742","1,873","1,642","1,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Creek (Nehalem R),Cook Creek (Nehalem R),6,27,9,16,6,12,45,40,43,56,24,93,45,27,80,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coos River & Bay,Coos River & Bay,148,112,263,229,510,132,202,398,"1,661","1,256","1,696","1,386",332,581,572,883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Fk. Coos River,S. Fk. Coos River,199,113,190,124,78,140,87,138,176,262,159,420,219,204,208,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coquille River & Bay,Coquille River & Bay,"1,123",466,438,595,502,560,460,455,478,"1,157","1,000","1,137","1,320","2,024","2,279","3,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Fk. Coquille River,N. Fk. Coquille River,44,90,27,53,62,13,111,133,46,91,77,88,94,147,184,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Fk. Coquille River,E. Fk. Coquille River,16,18,21,7,7,6,24,32,31,5,55,49,15,58,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Fk. Coquille River,S. Fk. Coquille River,91,12,24,12,16,23,36,32,53,52,28,41,51,114,112,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid. Fk. Coquille River,Mid. Fk. Coquille River,65,99,98,16,29,12,31,44,47,52,24,43,23,53,23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cummins Creek (Lane Co),Cummins Creek (Lane Co),6,3,3,4,0,0,6,0,4,0,4,0,0,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deadwood Creek (Siuslaw R),Deadwood Creek (Siuslaw R),31,6,22,7,7,9,19,36,7,5,8,47,41,76,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Creek (Alsea R),Drift Creek (Alsea R),113,24,58,119,50,33,107,159,122,132,266,196,159,102,110,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Creek (Siletz R),Drift Creek (Siletz R),249,249,243,340,142,101,127,118,109,92,242,321,203,295,237,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elk River (Curry Co),Elk River (Curry Co),"2,561","3,003",925,527,"1,574","2,003","1,647",956,"1,368","3,731","3,167","1,680",739,488,736,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euchre Creek (Curry Co),Euchre Creek (Curry Co),0,0,6,11,3,3,0,4,0,0,0,4,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall Creek (Alsea R),Fall Creek (Alsea R),198,240,267,514,246,21,54,4,15,44,16,26,12,12,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Rivers (Alsea R),Five Rivers (Alsea R),14,42,15,0,35,57,87,79,28,0,39,26,16,6,61,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floras Cr. Lk & New River,Floras Cr. Lk & New River,211,105,54,52,102,95,171,78,137,73,132,138,54,89,141,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourmile Creek (Coos Co),Fourmile Creek (Coos Co),0,9,0,0,0,9,9,4,0,0,0,0,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Creek (Curry Co),Hunter Creek (Curry Co),75,24,55,28,30,12,6,55,22,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois River,Illinois River,88,195,41,12,0,60,3,8,4,67,98,232,41,17,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Creek (Siuslaw R),Indian Creek (Siuslaw R),9,27,18,12,21,9,3,12,15,74,23,97,63,82,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isthmus Slough,Isthmus Slough,,,,,,,,,,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilchis River,Kilchis River,573,341,249,168,210,262,405,478,286,218,335,363,411,332,455,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Creek (Siuslaw R),Lake Creek (Siuslaw R),251,276,101,161,174,227,282,192,141,228,296,421,536,568,309,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobster Creek (Alsea R),Lobster Creek (Alsea R),2,3,9,4,3,0,3,0,12,0,16,4,9,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millicoma River,,,,,,,,,,,,,,,,,,Millicoma River,152,144,93,68,57,35,89,92,107,123,81,72,118,75,167,170,,,,,,,,,,,,,,,,,
Necanicum River,,,,,,,,,,,,,,,,,,Necanicum River,38,54,77,131,92,278,987,165,131,184,147,171,102,143,128,150,,,,,,,,,,,,,,,,,
Nehalem R. & Bay below Elsie (a),,,,,,,,,,,,,,,,,,Nehalem R. & Bay below Elsie (a),,,,,,,"1,082",615,"1,227","1,925","1,997","1,243","1,343","1,776","2,239","3,508",,,,,,,,,,,,,,,,,
Nehalem R. & Bay above Elsie (a),,,,,,,,,,,,,,,,,,Nehalem R. & Bay above Elsie (a),,,,,,,,,,--,--,--,--,--,104,0,,,,,,,,,,,,,,,,,
N. Fk. Nehalem River,,,,,,,,,,,,,,,,,,N. Fk. Nehalem River,155,237,268,147,175,82,126,148,257,169,252,271,279,316,377,456,,,,,,,,,,,,,,,,,
Neskowin Creek,,,,,,,,,,,,,,,,,,Neskowin Creek,3,0,6,8,X,X,X,X,X,X,X,X,X,X,0,0,,,,,,,,,,,,,,,,,
Nestucca River & Bay,,,,,,,,,,,,,,,,,,Nestucca River & Bay,"4,331","3,189","1,888","3,735","1,866","1,479","2,328","2,703","2,629","3,007","2,822","2,408","2,092","2,142","2,755","3,282",,,,,,,,,,,,,,,,,
Little Nestucca River,,,,,,,,,,,,,,,,,,Little Nestucca River,251,174,189,191,132,141,332,272,441,568,607,586,196,104,161,280,,,,,,,,,,,,,,,,,
Pistol River,,,,,,,,,,,,,,,,,,Pistol River,77,96,58,37,36,38,22,20,7,25,47,86,16,12,0,0,,,,,,,,,,,,,,,,,
Rock Creek (Lane Co),,,,,,,,,,,,,,,,,,Rock Creek (Lane Co),0,3,3,4,3,0,0,0,8,0,4,0,0,6,3,0,,,,,,,,,,,,,,,,,
Rock Creek (Nehalem R),,,,,,,,,,,,,,,,,,Rock Creek (Nehalem R),9,0,0,20,3,0,16,0,0,5,0,4,0,0,0,0,,,,,,,,,,,,,,,,,
Rock Creek (Siletz R),,,,,,,,,,,,,,,,,,Rock Creek (Siletz R),22,57,3,24,0,6,41,36,51,25,23,11,6,27,6,8,,,,,,,,,,,,,,,,,
Little Rock Creek (Siletz R),,,,,,,,,,,,,,,,,,Little Rock Creek (Siletz R),3,0,3,4,0,0,19,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
"Rogue River & Bay, Lower",,,,,,,,,,,,,,,,,,"Rogue River & Bay, Lower","4,140","1,705","1,080","2,380","2,445","2,446","1,484","3,720","4,966","11,536","15,988","9,607","3,604","4,364","3,504","10,100",,,,,,,,,,,,,,,,,
