Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19
ALSEA R & BAY,2689,720,848,2596,5505,3699,6194,4640,10243,3972,4052,2340
N FK ALSEA,112,23,8,39,22,54,80,36,41,39,44,-
S FK ALSEA,8,-,8,11,7,4,13,30,59,39,76,-
BEAVER CR (TILL CO),12,-,4,7,-,13,9,-,36,26,32,-
BIG CR (LANE CO),-,-,-,14,10,13,13,35,118,-,13,-
BIG ELK CR (YAQUINA R),39,4,-,4,10,13,18,5,12,6,13,10
BRUSH CR (CURRY CO),-,-,-,7,-,-,9,5,24,-,-,-
CAPE CR,-,4,-,50,3,13,9,15,-,6,-,10
CHETCO R & BAY,437,410,345,887,793,832,849,1302,912,798,879,531
COOK CR (NEHALEM R),4,-,8,11,14,13,22,15,18,13,25,-
COOS R & BAY,1629,1469,1847,6518,6813,5243,8685,8991,13985,4296,2834,1441
S FK COOS,120,106,307,806,823,571,1115,852,1232,402,196,31
COQUILLE R & BAY,1305,1007,1062,3384,4316,3152,3419,4051,6400,2317,1698,715
N FK COQUILLE,11,12,11,32,8,8,54,35,83,13,19,-
E FK COQUILLE,15,15,8,14,10,13,4,36,47,26,-,20
S FK COQUILLE,71,23,11,18,43,37,104,122,77,39,25,-
MID FK COQUILLE,12,4,-,11,35,17,13,-,18,-,6,-
CUMMINS CR,-,-,4,-,-,4,-,5,-,-,-,-
DEADWOOD CR (SIUSLAW R),-,-,-,25,-,25,4,5,-,-,6,-
DRIFT CR (ALSEA R),4,4,-,42,107,53,44,45,206,38,-,-
DRIFT CR (SILETZ R),70,59,19,91,139,46,204,118,325,266,359,265
EEL CR & LAKE,-,4,-,-,-,-,-,-,-,-,-,-
ELK CR (CLATSOP CO),-,4,12,7,7,-,4,-,6,-,-,10
ELK R,924,1767,2345,2942,2779,2079,1991,1631,2394,1706,972,439
EUCHRE CR,-,8,-,4,-,-,-,-,-,-,-,-
FALL CR (ALSEA R),-,-,-,-,3,4,13,15,6,-,6,-
FIVE R (ALSEA R),4,-,-,-,-,-,-,-,-,6,-,-
FLORAS CR & LK,35,-,8,11,38,29,27,45,95,71,32,-
COW CREEK,-,-,-,-,-,-,-,-,-,-,-,-
FOURMILE CR (COOS CO),8,-,4,-,-,4,4,-,6,-,-,-
HUNTER CR,-,4,12,28,17,-,49,-,47,32,-,-
ILLINOIS R,-,-,-,4,7,13,36,-,-,-,6,10
INDIAN CR (SIUSLAW R),-,-,15,21,3,4,4,10,12,26,38,10
KILCHIS R,289,203,199,258,286,438,267,551,491,422,158,31
LAKE CR (SIUSLAW R),359,8,4,5,10,13,177,318,213,149,107,18
LOBSTER CR (ALSEA R),-,-,4,11,-,-,-,-,-,-,13,-
MIAMI R,23,12,15,25,59,37,22,75,101,58,50,-
MIDDLE CR (COQUILLE R),8,-,-,24,3,4,22,10,12,-,6,-
MILLICOMA R,84,-,35,145,195,146,599,376,342,26,88,102
E FK MILLICOMA,4,-,-,11,3,4,9,5,18,13,6,-
W FK MILLICOMA,-,-,4,31,-,-,27,5,24,19,13,10
NECANICUM R,35,27,92,92,154,42,111,157,201,169,114,31
NEHALEM R & BAY BELOW HWY,,,,,,,,,,,,
731,17,493,1935,2011,3506,4049,5505,1697,1366,894,,
N FK NEHALEM,112,86,32,159,204,88,306,328,407,321,228,41
MUNSEL L,-,27,4,-,-,-,13,-,6,-,6,-
NESTUCCA R & BAY,1210,445,1014,1478,2724,2163,5375,3899,6454,2923,3308,967
LITTLE NESTUCCA,23,12,23,11,241,117,209,85,491,182,19,-
PISTOL R,15,20,31,46,3,29,58,90,59,32,19,-
ROCK CR (LANE CO),-,-,-,7,-,4,-,5,6,13,-,-
ROCK CR (NEHALEM),-,-,-,-,-,-,-,5,-,-,-,-
ROCK CR (SILETZ R),-,-,-,-,10,-,-,-,-,-,13,-
SOAPSTONE CR,-,-,-,-,-,-,-,-,-,6,6,-
LOWER ROGUE RIVER & BAY,-,-,-,-,-,-,-,-,-,6,-,-
SALMON R (COAST),704,747,940,1655,2899,2617,4822,2974,5525,1585,1332,752
SALMONBERRY R,-,-,-,-,-,4,-,-,6,-,2,-
SAND LAKE,7,4,4,-,-,-,9,5,12,-,13,-
SCHOONER CR (SILETZ R),-,-,-,-,17,8,9,20,53,19,6,-
SILETZ R & BAY,947,346,433,774,2703,1912,3255,4072,7513,4074,5393,1937
N FK SILETZ,-,-,-,-,-,-,-,6,24,13,-,-
S FK SILETZ,-,-,-,-,-,-,-,-,5,4,5,-
SILTCOOS R & LK,35,16,8,-,-,-,-,-,-,-,-,-
SIUSLAW R & BAY,2480,962,1385,3300,5653,3997,8486,5540,9654,5001,3986,2360
N FK SIUSLAW,108,51,42,138,162,44,127,109,176,71,57,39
SIXES R,417,438,637,1072,600,530,1230,1723,989,818,521,347
SMITH R,62,31,127,361,345,234,750,286,290,350,202,143
N FK SMITH,8,-,12,28,52,21,31,65,53,39,25,-
SUTTON CR & LK,-,-,-,-,-,-,-,-,-,-,-,-
SWEET CR (SIUSLAW R),8,12,4,21,7,-,4,30,-,6,-,-
TENMILE CR & LK (COOS CO),4,-,-,-,-,-,-,-,-,-,-,-
TENMILE CR (LANE CO),8,-,-,7,146,92,266,311,302,84,95,72
THREE R,55,28,36,131,68,146,360,299,305,284,218,64
TILLAMOOK BAY,4236,2042,1793,2499,4180,3663,7439,5828,9719,4075,4323,2315
TILLAMOOK R,222,162,159,216,300,175,333,195,486,52,151,82
TRASK R,1356,682,761,898,2479,1753,3175,2971,3179,1895,1474,337
N FK TRASK,15,8,-,4,24,17,53,20,47,13,-,-
S FK TRASK,15,8,4,7,31,4,40,35,42,13,19,-
UMPQUA R & BAY,1384,1138,2033,6034,7300,6610,9061,7226,12484,4917,3442,2288
N FK UMPQUA BELOW,8,2,14,5,15,11,20,31,12,6,9,1
S FK UMPQUA,8,4,27,7,45,17,31,10,65,6,3,10
WILSON R,2078,890,847,1287,1365,1706,2967,4048,2794,2025,1152,215
S FK. WILSON R.,12,12,15,32,31,13,4,5,6,6,6,-
LITTLE N FK (WILSON),11,-,4,7,87,75,209,85,95,-,6,10
WINCHUCK R,12,55,-,152,150,100,200,40,142,123,189,20
YACHATS R,112,113,96,141,192,133,124,276,142,110,107,-
YAQUINA R & BAY,927,528,418,969,1259,984,2669,1944,3837,2200,1262,736
TIOGA CR,-,-,-,-,-,-,-,-,-,6,-,-
