Alsea River & Bay,1062,1353,1144,1989,1652,1539,2004,1623,2033,2196,3196,3002,2318,2473,1783,2130
N. Fk. Alsea River,91,101,92,226,113,45,67,126,120,49,51,67,85,86,77,4
S. Fk. Alsea River,4,63,61,66,42,47,38,28,83,116,101,48,38,48,20,15
Beaver Creek (Lincoln Co),3,6,3,0,7,0,16,0,0,0,0,0,0,0,0,0
Beaver Creek (Tillamook Co),6,0,6,12,3,6,0,8,7,5,4,0,29,43,16,0
Big Creek (Lane Co),25,6,12,37,16,73,41,36,48,54,35,52,0,33,0,0
Big Elk Creek (Yaquina R),60,72,80,68,73,41,54,59,36,108,70,103,60,149,235,49
Brush Creek (Curry Co),6,6,0,16,0,0,0,0,4,15,4,4,0,12,13,11
Cape Creek (Lane Co),9,3,6,8,3,0,9,0,7,5,4,0,0,0,10,0
Chetco River & Bay,5436,1538,1749,1215,1436,1145,966,1656,992,2047,2070,2459,1742,1873,1642,1092
Cook Creek (Nehalem R),6,27,9,16,6,12,45,40,43,56,24,93,45,27,80,8
Coos River & Bay,148,112,263,229,510,132,202,398,1661,1256,1696,1386,332,581,572,883
S. Fk. Coos River,199,113,190,124,78,140,87,138,176,262,159,420,219,204,208,556
Coquille River & Bay,1123,466,438,595,502,560,460,455,478,1157,1000,1137,1320,2024,2279,3149
N. Fk. Coquille River,44,90,27,53,62,13,111,133,46,91,77,88,94,147,184,35
E. Fk. Coquille River,16,18,21,7,7,6,24,32,31,5,55,49,15,58,20,23
S. Fk. Coquille River,91,12,24,12,16,23,36,32,53,52,28,41,51,114,112,192
Mid. Fk. Coquille River,65,99,98,16,29,12,31,44,47,52,24,43,23,53,23,27
Cummins Creek (Lane Co),6,3,3,4,0,0,6,0,4,0,4,0,0,3,6,0
Deadwood Creek (Siuslaw R),31,6,22,7,7,9,19,36,7,5,8,47,41,76,3,8
Drift Creek (Alsea R),113,24,58,119,50,33,107,159,122,132,266,196,159,102,110,87
Drift Creek (Siletz R),249,249,243,340,142,101,127,118,109,92,242,321,203,295,237,238
Elk River (Curry Co),2561,3003,925,527,1574,2003,1647,956,1368,3731,3167,1680,739,488,736,701
Euchre Creek (Curry Co),0,0,6,11,3,3,0,4,0,0,0,4,0,3,0,0
Fall Creek (Alsea R),198,240,267,514,246,21,54,4,15,44,16,26,12,12,37,0
Five Rivers (Alsea R),14,42,15,0,35,57,87,79,28,0,39,26,16,6,61,27
Floras Cr. Lk & New River,211,105,54,52,102,95,171,78,137,73,132,138,54,89,141,172
Fourmile Creek (Coos Co),0,9,0,0,0,9,9,4,0,0,0,0,3,3,0,0
Hunter Creek (Curry Co),75,24,55,28,30,12,6,55,22,5,0,0,0,0,0,0
Illinois River,88,195,41,12,0,60,3,8,4,67,98,232,41,17,7,2
Indian Creek (Siuslaw R),9,27,18,12,21,9,3,12,15,74,23,97,63,82,9,12
Isthmus Slough,,,,,,,,,,--,--,--,--,--,--,--
Kilchis River,573,341,249,168,210,262,405,478,286,218,335,363,411,332,455,194
Lake Creek (Siuslaw R),251,276,101,161,174,227,282,192,141,228,296,421,536,568,309,410
Lobster Creek (Alsea R),2,3,9,4,3,0,3,0,12,0,16,4,9,3,0,0
Miami River,145,21,67,28,119,22,54,75,74,316,241,160,206,149,71,142
Millicoma River,152,144,93,68,57,35,89,92,107,123,81,72,118,75,167,170
Necanicum River,38,54,77,131,92,278,987,165,131,184,147,171,102,143,128,150
Nehalem R. & Bay below Elsie (a),,,,,,,1082,615,1227,1925,1997,1243,1343,1776,2239,3508
Nehalem R. & Bay above Elsie (a),,,,,,,,,,--,--,--,--,--,104,0
N. Fk. Nehalem River,155,237,268,147,175,82,126,148,257,169,252,271,279,316,377,456
Neskowin Creek,3,0,6,8,X,X,X,X,X,X,X,X,X,X,0,0
Nestucca River & Bay,4331,3189,1888,3735,1866,1479,2328,2703,2629,3007,2822,2408,2092,2142,2755,3282
Little Nestucca River,251,174,189,191,132,141,332,272,441,568,607,586,196,104,161,280
Pistol River,77,96,58,37,36,38,22,20,7,25,47,86,16,12,0,0
Rock Creek (Lane Co),0,3,3,4,3,0,0,0,8,0,4,0,0,6,3,0
Rock Creek (Nehalem R),9,0,0,20,3,0,16,0,0,5,0,4,0,0,0,0
Rock Creek (Siletz R),22,57,3,24,0,6,41,36,51,25,23,11,6,27,6,8
Little Rock Creek (Siletz R),3,0,3,4,0,0,19,0,0,0,0,0,0,0,0,0
"Rogue River & Bay, Lower",4140,1705,1080,2380,2445,2446,1484,3720,4966,11536,15988,9607,3604,4364,3504,10100
"Rogue River, Upper",--,--,--,--,--,3,59,79,191,0,0,0,0,0,0,0
Salmon River,567,568,658,775,654,607,1154,1157,1381,2195,2826,1861,1216,1914,1193,1175
Salmonberry River,15,0,--,4,13,0,13,0,4,10,23,0,18,9,3,0
Sand Lake,9,6,3,0,6,0,3,4,29,30,8,15,19,5,6,19
Schooner Creek (Siletz R),28,39,27,37,39,6,6,0,0,0,0,4,16,9,0,16
Siletz River & Bay,1270,1303,787,1805,888,894,846,851,816,1290,1140,1190,791,926,1123,1879
N. Fk. Siletz River,41,6,30,86,24,0,45,44,22,10,4,41,35,9,13,4
S. Fk. Siletz River,28,36,50,24,6,9,26,8,53,29,43,12,9,27,37,19
Siltcoos River & Lake,21,30,18,46,66,12,87,40,0,0,0,0,0,0,0,0
Siuslaw River & Bay,691,387,357,377,518,398,867,672,889,1321,2155,2738,1962,2805,1755,2791
N. Fk. Siuslaw River,25,45,46,53,158,43,82,59,42,107,74,48,132,106,113,330
Sixes River,945,1168,394,337,577,493,520,279,322,262,1334,471,215,183,522,420
Slick Rock Creek (Salmon R),3,12,9,4,0,0,X,X,X,X,X,X,X,X,0,0
Smith River,51,27,18,102,116,78,122,173,249,268,246,317,406,485,572,673
N. Fk. Smith River,25,15,12,115,46,0,16,47,12,35,59,53,48,9,7,0
Sweet Creek (Siuslaw R),0,18,9,8,26,13,16,12,27,73,78,60,60,88,71,15
Tenmile Creek & Lakes (Coos Co),6,0,6,33,3,31,22,8,0,0,0,0,0,0,0,0
Tenmile Creek (Lane Co),3,0,3,0,0,0,9,8,4,10,8,22,0,6,16,8
Three Rivers,208,289,274,159,162,91,111,349,218,222,262,430,229,214,273,130
Tillamook Bay,5180,4445,2750,3531,3244,2450,3116,2649,4781,7301,7893,7197,5433,10224,7560,6898
Tillamook River,346,162,237,195,173,287,369,255,696,669,583,662,1390,729,971,907
Trask River,5888,3042,3411,3452,2495,2043,3280,3780,3429,6804,4360,6792,5748,5193,5158,5591
N. Fk. Trask River,44,54,43,12,20,3,X,X,25,0,0,0,0,0,0,0
S. Fk. Trask River,53,81,80,86,39,31,X,X,18,0,0,0,0,0,4,0
Umpqua River & Bay,198,81,122,121,343,244,373,148,306,498,626,638,578,2108,1530,2440
"N. Umpqua River, Lower",87,19,15,43,22,18,21,24,21,17,23,6,28,19,5,2
"N. Umpqua River, Upper",--,--,--,--,--,--,16,15,45,26,14,11,19,55,32,3
S. Umpqua River,66,72,160,95,104,6,29,0,4,10,16,7,0,3,0,0
Wilson River,4141,3953,1998,4023,2128,1633,3373,3027,2724,2218,2587,2842,4043,2274,3261,2227
Devils Lk. Fk. Wilson River,3,6,6,12,0,0,10,4,4,0,16,0,3,0,0,0
Little N. Fk. Wilson River,70,129,93,111,0,0,0,4,9,4,0,0,0,0,8,0
Winchuck River,145,150,95,74,86,130,79,71,159,88,101,74,101,98,168,23
Yachats R.,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,51,Unnamed: 5,36,29,20 75,Unnamed: 6,38,19,39,51.1,77
Yaquina R. and Bay 264,336,342,409,529,329,421,,787,1982,"1,232 1,350",,1212,771,1062,1381,953
Unclassified (b) 162,9,24,33,171,61,181,,76,0,0 4,,7,15,18,13,4
"Clackamas River, Lower 57",9,6,3,68,234,196,137,98,0,0 19,,0,6,3,3,8
Big Creek (Clatsop Co) 73,73,90,52,43,270,215,278,585,318,"412 1,000",,993,494,369,521,513
Bullrun River 0,0,6,0,6,3,6,6,24,14,19 16,,4,3,9,3,4
"Clackamas River, Lower 57",57,114,194,135,188,126,19,81,49,82 66,,112,48,107,117,69
"Clackamas River, Upper --",,--,--,--,--,--,3,4,15,0 0,,0,0,0,0,0
Clatskanie River 44,44,24,58,67,33,18,16,8,26,63 31,,19,19,6,0,0
"Columbia River, Lower 1103",1103,887,1513,813,474,1097,6563,2513,6380,"16,437 17,540",,11953,5758,9070,5342,6311
"Columbia River, Upper 388",388,171,305,154,96,374,402,435,765,"1,180 1,884",,2525,1489,1408,819,1528
"Deschutes River, Lower 363",363,319,489,538,761,452,291,293,193,524 763,,510,324,210,47,34
"Deschutes River, Upper --",,--,--,--,--,--,13,0,4,18 12,,17,18,5,2,0
Eagle Creek (Clackamas R) 53,53,171,114,114,172,3,83,145,166,87 171,,97,9,49,0,4
Eagle Creek (Columbia R) 47,47,6,58,70,53,143,51,43,40,10 0,,15,19,27,17,8
Gnat Creek (Clatsop Co) 126,126,222,175,80,416,309,142,133,217,"1,461 906",,840,79,46,28,26
Herman Creek (Columbia R) 56,56,54,132,9,3,3,0,0,0,0 0,,0,6,40,6,12
"Hood River, E. Fk. & W.Fk. 3",3,3,12,0,10,6,3,12,15,20 16,,7,6,3,10,0
Hood R. Mouth to Powerdale Dam (b),,,,,,,,,,-- --,,--,--,--,--,--
Hood R. Above Powerdale Dam (b),,,,,,,,,,-- --,,--,--,--,--,--
Klaskanine River 94,94,99,88,129,40,54,38,36,29,68 180,,86,3,21,0,12
N. Fk. Klaskanine River 94,94,99,206,55,73,94,27,28,18,10 12,,45,6,0,0,8
S. Fk. Klaskanine River 3,3,15,9,3,3,6,3,8,0,5 70,,4,0,0,0,0
Lewis and Clark River 9,9,9,12,21,13,60,16,75,23,223 172,,94,3,15,3,8
Sandy River Above Marmot Dam (a) --,,--,--,--,--,--,--,--,--,-- 23,,0,29,21,34,8
Sandy River Below Marmot Dam (a) 453,453,329,236,255,344,155,388,185,305,735 481,,549,282,420,244,406
Santiam River 88,88,111,89,154,293,47,89,200,14,5 31,,0,0,0,0,0
North Santiam River 0,0,42,24,12,63,31,19,79,0,15 0,,0,0,0,0,0
Little North Fork (Santiam R) --,,--,6,6,0,0,0,0,0,0 0,,4,0,0,0,0
South Santiam River 242,242,144,37,154,257,41,272,263,11,0 4,,0,0,0,0,0
Scappoose Creek 12,12,0,12,0,0,0,0,0,0,0 0,,0,0,0,0,0
Tualatin River 0,0,3,0,6,3,0,3,0,0,0 0,,0,3,0,0,0
"Willamette River, Lower 32",32,21,18,55,54,110,89,48,36,20 58,,93,83,117,20,65
"Willamette River, Upper 0",0,24,3,9,20,0,32,12,14,15 8,,4,0,3,27,0
"Willamette River, Coast Fk. 101",101,X,X,X,X,X,X,X,X,X X,,0,25,0,0,0
