21,ALSEA R & BAY,2811,3736,2023,2251,2501,2853,4309,4106,5031,8344,5081,4602
22,N FK ALSEA,31,24,25,15,12,60,36,79,39,67,44,54
23,S FK ALSEA,16,38,21,18,0,17,33,23,9,29,0,16
24,APPLEGATE R,0,0,0,0,0,0,0,0,0,0,0,0
25,BEAVER CR (LINC CO),0,0,0,0,0,0,0,0,0,0,0,0
26,BEAVER CR (TILL CO),31,11,25,34,5,52,54,29,32,25,24,33
27,BIG CR (LANE CO),0,0,0,0,0,0,0,0,0,0,0,0
28,BIG ELK CR (YAQUINA R),119,245,244,47,80,118,95,104,101,180,140,43
29,BRUSH CR (CURRY CO),0,0,0,3,12,0,0,6,3,9,4,0
30,CAPE CR,9,8,0,3,9,0,6,9,21,3,8,22
31,CHETCO R & BAY,1738,1108,1058,957,588,1263,1472,1702,1592,547,569,713
32,COOK CR (NEHALEM R),39,24,13,12,9,10,9,21,33,6,11,18
33,COOS R & BAY,1479,2328,890,942,1256,1665,1846,2318,2874,3669,2331,2126
34,S FK COOS,719,746,361,301,289,272,516,645,737,932,573,445
35,COQUILLE R & BAY,1939,1666,1183,2128,1727,1856,2724,2599,3641,2359,1625,2202
36,N FK COQUILLE,103,57,19,39,3,38,20,28,47,31,22,18
37,E FK COQUILLE,21,27,18,3,24,7,38,18,32,37,22,22
38,S FK COQUILLE,72,118,101,122,68,48,32,69,80,178,41,46
39,MID FK COQUILLE,25,10,14,15,26,3,15,26,32,24,15,12
40,CUMMINS CR,3,3,0,6,6,7,0,0,9,0,0,7
41,DEVILS LK,0,0,0,0,0,0,0,0,0,0,0,0
42,DEADWOOD CR (SIUSLAW R),0,8,5,9,9,34,0,9,18,18,7,29
43,DRIFT CR (ALSEA R),73,238,24,23,123,111,153,146,112,162,72,51
44,DRIFT CR (SILETZ R),354,274,299,90,94,148,299,240,300,467,281,131
45,EEL LAKE,8,6,0,3,0,0,15,6,3,0,0,4
46,ELK CR (CLATSOP CO),10,6,5,29,12,0,9,3,18,3,4,18
47,ELK R,1365,393,1325,1364,1538,1614,2568,1907,2091,1138,966,918
48,EUCHRE CR,0,11,3,3,6,3,0,6,0,0,4,4
49,FALL CR (ALSEA R),0,0,0,0,0,3,6,14,3,0,0,7
50,FIVE R (ALSEA R),21,40,40,3,3,6,63,12,12,22,29,12
51,FLORAS CR & LK,119,64,57,29,82,46,45,15,56,51,47,37
52,COW CREEK,0,0,3,0,3,0,0,0,0,0,0,0
53,FOURMILE CR (COOS CO),3,0,6,3,0,0,3,3,0,6,0,11
54,HUNTER CR,3,3,0,6,18,13,18,3,15,3,19,0
55,ILLINOIS R,21,10,0,0,0,3,9,9,9,12,11,9
56,INDIAN CR (SIUSLAW R),9,29,40,12,3,13,18,15,0,13,11,7
57,KILCHIS R,265,318,350,226,294,118,479,396,460,515,684,1139
