,21,ALSEA R & BAY,8,12,4,4.1,14,33,9,10,30,26,13,10.1,54,HUNTER CR,-,-.1,-.2,-.3,-.4,-.5,-.6,-.7,-.8,-.9,-.10,-.11,89,SMITH R,5,45,240,ISTHMUS SLOUGH,2,18,6,155,MCKENZIE R (BELOW LEABURG DAM),564,768,"1,768","1,269","1,168",582,586,639,604,682,950,203,DESCHUTES R ABOVE SHERARS FALLS,15,15.1,7,1,19,237,UMATILLA R ABOVE NOLIN,79,88,39,117,164,25
22.0,22.0,N FK ALSEA,8,4,-,7,21,4,4,-,30,6,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,23.0,S FK ALSEA,-,-,-,-,-,-,-,-,18,19,19,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,26.0,BEAVER CR (TILL CO),-,8,-,7,7,38,4,25,6,-,-,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,27.0,BIG CR (LANE CO),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,28.0,BIG ELK CR (YAQUINA R),-,-,-,7,3,-,9,-,-,19,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,29.0,BRUSH CR (CURRY CO),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,30.0,CAPE CR,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,31.0,CHETCO R & BAY,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,32.0,COOK CR (NEHALEM R),-,-,-,-,3,4,4,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,33.0,COOS R & BAY,21,29,64,14,98,150,107,55,24,-,19,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,34.0,S FK COOS,-,-,-,-,3,4,-,-,6,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,35.0,COQUILLE R & BAY,85,68,62,4,3,18,14,1,12,6,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,36.0,N FK COQUILLE,-,-,-,-,-,-,4,5,-,13,25,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,37.0,E FK COQUILLE,-,-,-,-,-,-,-,-,-,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,38.0,S FK COQUILLE,2,5,-,-,-,5,-,5,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,39.0,MID FK COQUILLE,-,-,-,-,-,-,4,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,40.0,CUMMINS CR,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,42.0,DEADWOOD CR (SIUSLAW R),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,43.0,DRIFT CR (ALSEA R),-,-,-,4,4,1,-,-,1,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,44.0,DRIFT CR (SILETZ R),-,-,-,1,-,-,-,-,1,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,45.0,EEL CR & LAKE,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,46.0,ELK CR (CLATSOP CO),-,-,-,-,7,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,47.0,ELK R,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,48.0,EUCHRE CR,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,49.0,FALL CR (ALSEA R),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,50.0,FIVE R (ALSEA R),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,51.0,FLORAS CR & LK,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,52.0,COW CREEK,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,53.0,FOURMILE CR (COOS CO),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,,,,,,,,,,,,,,55.0,ILLINOIS R,4,-,-,-,7,4,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,,,,,,,,,,,,,,,56.0,INDIAN CR (SIUSLAW R),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,,,,,,,,,,,,,,,57.0,KILCHIS R,-,-,-,-,-,-,5,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,,,,,,,,,,,,,,,58.0,LAKE CR (SIUSLAW R),-,-,-,2,-,4,1,3,-,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,,,,,,,,,,,,,,,59.0,LOBSTER CR (ALSEA R),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,,,,,,,,,,,,,,60.0,MIAMI R,-,-,-,-,-,-,-,-,6,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,,,,,,,,,,,,,,,61.0,MIDDLE CR (COQUILLE R),-,-,-,1,-,-,-,5,-,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,,,,,,,,,,,,,,,62.0,MILLICOMA R,1,-,-,-,-,-,1,5,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,,,,,,,,,,,,,,63.0,E FK MILLICOMA,-,-,-,4,-,-,-,-,6,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,,,,,,,,,,,,,,,64.0,W FK MILLICOMA,-,-,-,4,-,-,-,-,6,-,-,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,,,,,,,,,,,,,,,65.0,NECANICUM R,-,-,-,-,-,-,4,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,,,,,,,,,,,,,,,66.0,NEHALEM R & BAY BELOW HWY 26/ELSIE,189,196,10,136,523,"1,108","1,614","1,461","1,695",639,510,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,,,,,,,,,,,,,,,67.0,N FK NEHALEM,4,-,2,7,2,-,-,8,43,23,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,,,,,,,,,,,,,,,68.0,MUNSEL L,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,,,,,,,,,,,,,,,69.0,NESTUCCA R & BAY,254,251,364,842,962,"1,266","1,399","1,453","1,340",919,428,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,,,,,,,,,,,,,,,70.0,LITTLE NESTUCCA,-,-,-,14,-,4,-,-,-,26,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,,,,,,,,,,,,,,,71.0,PISTOL R,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,,,,,,,,,,,,,,,72.0,ROCK CR (LANE CO),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,,,,,,,,,,,,,,,73.0,ROCK CR (NEHALEM),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,,,,,,,,,,,,,,,74.0,ROCK CR (SILETZ R),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,,,,,,,,,,,,,,,75.0,SOAPSTONE CR,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,,,,,,,,,,,,,,,76.0,LOWER ROGUE RIVER & BAY,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,,,,,,,,,,,,,,,77.0,SALMON R (COAST),3,4,8,18,20,48,53,42,123,38,19,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.0,,,,,,,,,,,,,,,78.0,SALMONBERRY R,-,-,-,-,-,-,-,-,-,-,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,,,,,,,,,,,,,,,79.0,SAND LAKE,5,4,-,-,-,-,-,5,6,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,,,,,,,,,,,,,,,80.0,SCHOONER CR (SILETZ R),-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,,,,,,,,,,,,,,,81.0,SILETZ R & BAY,53,17,41,38,132,226,275,374,490,339,425,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.0,,,,,,,,,,,,,,,82.0,N FK SILETZ,-,-,-,-,-,-,-,-,18,13,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.0,,,,,,,,,,,,,,,83.0,S FK SILETZ,-,-,-,-,-,-,-,-,1,9,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.0,,,,,,,,,,,,,,,84.0,SILTCOOS R & LK,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,,,,,,,,,,,,,,,85.0,SIUSLAW R & BAY,-,-,-,67,134,169,155,128,233,243,122,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.0,,,,,,,,,,,,,,,86.0,N FK SIUSLAW,-,-,-,4,1,2,2,6,7,6,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,,,,,,,,,,,,,,,87.0,SIXES R,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,,90.0,N FK SMITH,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.0,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,,91.0,SUTTON CR & LK,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.0,,,,,,,,,,,,,,,,,-,-,-,-,-,4,-,-,-,-,,,92.0,SWEET CR (SIUSLAW R),-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.0,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,,94.0,TENMILE CR & LK (COOS CO),-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.0,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,,95.0,TENMILE CR (LANE CO),-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.0,,,,,,,,,,,,,,,,,181,316,391,711,392,284,744,879,467,192,,,96.0,THREE R,"1,319",806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.0,,,,,,,,,,,,,,,,,235,271,355,811,"1,001",958,723,"1,170",707,270,,,97.0,TILLAMOOK BAY,792,851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.0,,,,,,,,,,,,,,,,,2,17,26,21,94,50,98,59,13,-,,,98.0,TILLAMOOK R,140,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.0,,,,,,,,,,,,,,,,,432,471,421,"1,369","1,809","1,405","1,767","2,262","1,319",368,,,99.0,TRASK R,"2,249","1,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,,,,,,,,,,,,,,-,-,-,-,-,4,-,-,-,31,,,100.0,N FK TRASK,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.0,,,,,,,,,,,,,,,,,-,-,-,18,3,-,9,12,-,-,,,101.0,S FK TRASK,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.0,,,,,,,,,,,,,,,,,"1,131","1,029","2,223","3,699","4,171","3,550","2,902","1,471","1,172",481,,,102.0,UMPQUA R & BAY,"3,028","1,353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.0,,,,,,,,,,,,,,,,,93,205,293,451,570,385,215,273,325,40,,,103.0,N FK UMPQUA BELOW WINCHESTER DAM,455,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.0,,,,,,,,,,,,,,,,,66,39,4,39,28,29,18,12,9,-,,,104.0,S FK UMPQUA,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.0,,,,,,,,,,,,,,,,,62,79,82,99,105,263,71,189,44,20,,,105.0,WILSON R,160,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.0,,,,,,,,,,,,,,,,,-,-,-,-,7,-,-,18,-,-,,,106.0,S FK. WILSON R.,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.0,,,,,,,,,,,,,,,,,-,4,-,-,3,-,18,6,6,-,,,107.0,LITTLE N FK (WILSON),-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108.0,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,,108.0,WINCHUCK R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,,110.0,YACHATS R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.0,,,,,,,,,,,,,,,,,4,20,-,-,17,42,22,-,6,10,,,111.0,YAQUINA R & BAY,25,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194.0,,,,,,,,,,,,,,,,,-,-,-,-,10,-,-,-,-,-,,,194.0,TIOGA CR,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201.0,,,,,,,,,,,,,,,,,418,578,"1,213","1,064","1,173","1,714","1,280",581,586,123,,,201.0,N FK UMPQUA-WINCHESTER DAM TO ROCKCR,888,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204.0,,,,,,,,,,,,,,,,,-,6,-,7,-,8,9,-,6,-,,,204.0,NEHALEM R ABOVE HWY 26/ELSIE,15,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206.0,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,,206.0,CALAPOOYA CR (UMPQUA R),-,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219.0,,,,,,,,,,,,,,,,,8,-,15,22,28,20,54,129,150,181,,,219.0,N FK UMPQUA FROM ROCK CR TO SODASPR (FLY AREA),8,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.0,,,,,,,,,,,,,,,,,4,-,-,7,5,33,13,12,13,5,,,224.0,NESKOWIN CR,33,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225.0,,,,,,,,,,,,,,,,,303,275,418,835,486,364,240,"1,097",978,"1,005",,,225.0,ROGUE BAY UP TO ELEPHANT ROCK,277,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226.0,,,,,,,,,,,,,,,,,647,608,"1,165","2,311","1,839","2,613","1,137","2,203","1,190","1,103",,,226.0,ROGUE R FROM ELEPHANT ROCK TOGRAVE CR,589,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227.0,,,,,,,,,,,,,,,,,266,182,277,598,463,809,712,677,187,119,,,227.0,ROGUE R FROM GRAVE CR TO GOLD RAYDAM,492,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228.0,,,,,,,,,,,,,,,,,"1,242","1,084","1,722","2,336","2,009","3,082","2,579","3,121",989,"1,517",,,228.0,ROGUE R ABOVE GOLD RAY DAM,"2,015",985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia River and Tributaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.0,,,,,,,,,,-,,,,,,,12,12,4,-,-,-,-,-,,,,,,,,,112.0,ABERNATHY CR (CLACK R),-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.0,,,,,,,,,,-,,,,,,,-,4,12,-,-,-,-,-,,,,,,,,,113.0,ABIQUA CR (PUDDING R),-,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.0,,,,,,,,,,3,,,,,,,4,-,8,4,-,-,-,-,,,,,,,,,114.0,BEAR CR (CLATSOP CO),-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.0,,,,,,,,,,7,,,,,,,4,-,-,-,13,-,-,-,,,,,,,,,115.0,BEAVER CR (COL CO),9,41,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.0,,,,,,,,,,171,,,,,,,170,35,19,357,75,110,202,215,,,,,,,,,116.0,BIG CR (CLATSOP CO),84,136,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.0,,,,,,,,,,7,,,,,,,4,-,-,-,-,-,-,-,,,,,,,,,117.0,BULLRUN R,-,-,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118.0,,,,,,,,,,-,,,,,,,-,4,-,-,-,-,-,-,,,,,,,,,118.0,BUTTE CR (PUDDING R),-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.0,,,,,,,,,,-,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,119.0,CALAPOOIA R,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.0,,,,,,,,,,-,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,120.0,CATHERINE CR,-,36,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.0,,,,,,,,,,586,,,,,,,"1,020","1,013",768,"1,574",613,366,177,82,,,,,,,,,122.0,CLACKAMAS R BELOW CARVER BRIDGE,289,870,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.0,,,,,,,,,,7,,,,,,,-,12,-,32,4,-,-,-,,,,,,,,,123.0,CLATSKANIE R,4,65,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124.0,,,,,,,,,,-,,,,,,,-,-,-,18,-,-,-,-,,,,,,,,,124.0,CLEAR CR (CLACK R),-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.0,,,,,,,,,,-,,,,,,,-,-,-,-,-,-,6,-,,,,,,,,,125.0,COLLOWASH RIVER,-,36,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.0,,,,,,,,,,-,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,126.0,HOT SP FK COLLOWASH RV,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.0,,,,,,,,,,-,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,129.0,CRABTREE CR (SANTIAM R),-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.0,,,,,,,,,,"1,714",,,,,,,922,"1,035",-,"1,135",604,"1,172",5,335,,,,,,,,,131.0,DESCHUTES R BELOW SHERARS FALLS,4,-,"1,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.0,,,,,,,,,,56,,,,,,,-,8,19,389,4,105,63,-,,,,,,,,,132.0,EAGLE CR (CLACK R),93,53,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.0,,,,,,,,,,-,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,133.0,EAGLE CR (COLUMBIA R),-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134.0,,,,,,,,,,-,,,,,,,-,-,-,7,4,5,25,-,,,,,,,,,134.0,FALL CR (WILLAMETTE R),4,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.0,,,,,,,,,,24,,,,,,,-,-,8,35,17,20,13,10,,,,,,,,,135.0,FIFTEEN MILE CR,22,47,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.0,,,,,,,,,,-,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,137.0,GALES CR (TUALATIN R),-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138.0,,,,,,,,,,59,,,,,,,340,149,196,994,338,65,682,174,,,,,,,,,138.0,GNAT CR,129,"1,362",636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140.0,,,,,,,,,,-,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,140.0,HERMAN CR (COL R),-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141.0,,,,,,,,,,-,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,141.0,LOST CR (WILL R MID FK),-,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142.0,,,,,,,,,,-,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,142.0,E FK HOOD,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.0,,,,,,,,,,-,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,143.0,W FK HOOD,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.0,,,,,,,,,,798,,,,,,,4,328,910,"1,393",375,80,6,-,,,,,,,,,144.0,IMNAHA R,27,118,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148.0,,,,,,,,,,-,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,148.0,JOHNSON CR (WILL R),-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151.0,,,,,,,,,,17,,,,,,,58,4,4,177,21,20,32,31,,,,,,,,,151.0,KLASKANINE R,13,148,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152.0,,,,,,,,,,21,,,,,,,-,12,27,276,33,60,151,20,,,,,,,,,152.0,N FK KLASKANINE,22,480,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153.0,,,,,,,,,,10,,,,,,,8,20,4,39,13,-,19,-,,,,,,,,,153.0,S FK KLASKANINE,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154.0,,,,,,,,,,42,,,,,,,4,4,-,46,25,20,13,-,,,,,,,,,154.0,LEWIS & CLARK R,4,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156.0,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,LUCKIAMUTE & LITTLE LUCKIAMUTE R,-,-,-,-,-,-,-,12,-,-,-,,,,,,,,,,,,,,,
158.0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,MCKENZIE R (ABOVE LEABURG DAM),4,27,25,21,29,13,35,6,-,101,10,,,,,,,,,,,,,,,
159.0,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,MILL CR (MARION CO),-,-,-,-,-,-,-,6,-,-,-,,,,,,,,,,,,,,,
161.0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,MILL CR (YAMHILL CO),-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
164.0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,MOLALLA R,39,12,180,35,104,44,5,59,45,32,-,,,,,,,,,,,,,,,
