,Stream 1978,1979,1980,1981,1982,1983,1984,Unnamed: 0,1985,1986 1987,Unnamed: 1,1988,1989,1990,1991,1992,1993,1994,Abernathy Creek (Clackamas R),3,0,6,3.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,9,0.9,0.10,4,3.2
Alsea River & Bay 4,Alsea River & Bay 4,8,13,19,31,22,5,,16,0 7,,22,17,22,14,7,2,3,,,,,,,,,,,,,,,,,,
N. Fk. Alsea River 4,N. Fk. Alsea River 4,13,18,36,22,28,45,,28,29 25,,89,33,187,88,7,19,25,,,,,,,,,,,,,,,,,,
Chetco R. and Bay,Chetco R. and Bay,,,,,,,,,--,,--,--,--,--,0,0,0,,,,,,,,,,,,,,,,,,
Coos River & Bay 0,Coos River & Bay 0,5,0,79,190,22,32,,61,"2,364 3,685",,"1,729","1,157",498,803,0,1,23,,,,,,,,,,,,,,,,,,
S. Fk. Coos River 0,S. Fk. Coos River 0,10,0,12,11,5,8,,15,8 15,,32,51,21,16,3,23,4,,,,,,,,,,,,,,,,,,
Coquille River & Bay 0,Coquille River & Bay 0,17,5,24,22,22,19,,16,19 35,,41,58,65,105,123,148,108,,,,,,,,,,,,,,,,,,
S. Fk. Coquille River --,S. Fk. Coquille River --,--,--,--,--,2,1,,8,2 2,,3,4,0,2,3,0,0,,,,,,,,,,,,,,,,,,
Elk River (Curry Co) --,Elk River (Curry Co) --,--,--,--,6,0,0,,0,0 0,,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
Illinois River 0,Illinois River 0,3,0,0,6,0,0,,0,0 0,,47,4,0,23,0,6,3,,,,,,,,,,,,,,,,,,
Kilchis River 94,Kilchis River 94,22,6,0,6,0,9,,0,1 0,,16,4,1,3,0,0,6,,,,,,,,,,,,,,,,,,
Miami River 0,Miami River 0,0,0,0,0,0,0,,0,4 0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Millicoma River & Tribs. --,Millicoma River & Tribs. --,--,--,--,6,0,6,,10,36 37,,12,48,29,10,3,22,1,,,,,,,,,,,,,,,,,,
Nehalem R & Bay Below Elsie (a) --,Nehalem R & Bay Below Elsie (a) --,--,--,--,--,--,--,,--,-- --,,--,114,213,392,466,365,644,,,,,,,,,,,,,,,,,,
Nehalem R & Bay Above Elsie (a),Nehalem R & Bay Above Elsie (a),,,,,,,,,--,,--,--,--,--,20,0,8,,,,,,,,,,,,,,,,,,
Nestucca River & Bay 627,Nestucca River & Bay 627,741,785,"1,306",644,567,432,,231,324 893,,"1,396","1,297","1,255","1,525",952,"1,255",859,,,,,,,,,,,,,,,,,,
Little Nestucca River 6,Little Nestucca River 6,0,4,2,4,1,5,,11,16 0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Pistol River --,Pistol River --,--,--,--,--,--,--,,--,-- --,,--,--,48,15,13,76,3,,,,,,,,,,,,,,,,,,
"Rogue River & Bay, Lower 6,683","Rogue River & Bay, Lower 6,683","11,328","7,711","6,155","7,165","2,529",57,,"1,799","4,646 3,483",,"5,932","7,154","3,915","2,018","2,269","6,411","3,748",,,,,,,,,,,,,,,,,,
"Rogue River, Upper --","Rogue River, Upper --",--,--,--,--,--,941,,"3,830","7,003 8,529",,"13,550","8,636","4,847","1,473",437,"3,044","1,908",,,,,,,,,,,,,,,,,,
Salmon River 5,Salmon River 5,8,22,21,16,2,34,,23,19 38,,63,18,21,28,38,20,0,,,,,,,,,,,,,,,,,,
Siletz River & Bay 47,Siletz River & Bay 47,58,18,65,42,68,62,,49,52 66,,129,140,237,128,223,180,125,,,,,,,,,,,,,,,,,,
Siuslaw River & Bay 0,Siuslaw River & Bay 0,0,46,103,0,0,0,,0,0 0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Three Rivers --,Three Rivers --,--,--,--,--,--,--,,--,-- --,,--,55,60,131,17,58,6,,,,,,,,,,,,,,,,,,
Tillamook Bay 334,Tillamook Bay 334,396,148,124,63,128,259,,207,41 349,,718,751,512,"1,068",692,762,427,,,,,,,,,,,,,,,,,,
Tillamook River 0,Tillamook River 0,0,0,3,2,0,12,,5,14 4,,5,7,3,5,4,5,1,,,,,,,,,,,,,,,,,,
"Trask River 2,101","Trask River 2,101","1,541","1,321",798,798,329,619,,285,415 426,,"1,965",865,965,949,685,759,231,,,,,,,,,,,,,,,,,,
"Umpqua River 1,008","Umpqua River 1,008","1,010",892,"1,125","1,441",380,879,,944,725 886,,"1,209","1,071",851,"1,147",738,"1,794",521,,,,,,,,,,,,,,,,,,
"N. Umpqua River, Lower 1,124","N. Umpqua River, Lower 1,124",737,753,"1,056",848,468,235,,196,239 186,,324,393,217,185,54,183,66,,,,,,,,,,,,,,,,,,
"N. Umpqua River, Upper --","N. Umpqua River, Upper --",--,--,--,--,--,297,,965,"1,240 1,328",,"1,146","1,629",974,412,371,923,345,,,,,,,,,,,,,,,,,,
S. Umpqua River 3,S. Umpqua River 3,3,6,32,6,6,3,,31,4 0,,0,30,35,18,3,0,0,,,,,,,,,,,,,,,,,,
"Wilson River 1,004","Wilson River 1,004",469,122,187,232,237,54,,49,54 120,,189,149,180,148,128,227,127,,,,,,,,,,,,,,,,,,
Yaquina River & Bay 0,Yaquina River & Bay 0,9,27,3,14,12,13,,14,12 21,,8,31,308,333,756,53,3,,,,,,,,,,,,,,,,,,
Unclassified (b) 44,Unclassified (b) 44,12,18,5,74,40,62,,216,36 24,,232,25,39,26,15,26,22,,,,,,,,,,,,,,,,,,
