ALSEA R & BAY,8,12,4,4.1,14,33,9,10,30,26,13,10.1
N FK ALSEA,8,4,-,7,21,4,4,-,30,6,6,-
S FK ALSEA,-,-,-,-,-,-,-,-,18,19,19,-
BEAVER CR (TILL CO),-,8,-,7,7,38,4,25,6,-,-,20
BIG CR (LANE CO),-,-,-,-,-,-,-,-,-,-,-,-
BIG ELK CR (YAQUINA R),-,-,-,7,3,-,9,-,-,19,-,-
BRUSH CR (CURRY CO),-,-,-,-,-,-,-,-,-,-,-,-
CAPE CR,-,-,-,-,-,-,-,-,-,-,-,-
CHETCO R & BAY,-,-,-,-,-,-,-,-,-,-,-,-
COOK CR (NEHALEM R),-,-,-,-,3,4,4,-,-,-,-,-
COOS R & BAY,21,29,64,14,98,150,107,55,24,-,19,-
S FK COOS,-,-,-,-,3,4,-,-,6,-,-,-
COQUILLE R & BAY,85,68,62,4,3,18,14,1,12,6,6,-
N FK COQUILLE,-,-,-,-,-,-,4,5,-,13,25,-
E FK COQUILLE,-,-,-,-,-,-,-,-,-,-,6,-
S FK COQUILLE,2,5,-,-,-,5,-,5,-,-,-,-
MID FK COQUILLE,-,-,-,-,-,-,4,-,-,-,-,-
CUMMINS CR,-,-,-,-,-,-,-,-,-,-,-,-
DEADWOOD CR (SIUSLAW R),-,-,-,-,-,-,-,-,-,-,-,-
DRIFT CR (ALSEA R),-,-,-,4,4,1,-,-,1,1,-,-
DRIFT CR (SILETZ R),-,-,-,1,-,-,-,-,1,-,1,1
EEL CR & LAKE,-,-,-,-,-,-,-,-,-,-,-,-
ELK CR (CLATSOP CO),-,-,-,-,7,-,-,-,-,-,-,-
ELK R,-,-,-,-,-,-,-,-,-,-,-,-
EUCHRE CR,-,-,-,-,-,-,-,-,-,-,-,-
FALL CR (ALSEA R),-,-,-,-,-,-,-,-,-,-,-,-
FIVE R (ALSEA R),-,-,-,-,-,-,-,-,-,-,-,-
FLORAS CR & LK,-,-,-,-,-,-,-,-,-,-,-,-
COW CREEK,-,-,-,-,-,-,-,-,-,-,-,-
FOURMILE CR (COOS CO),-,-,-,-,-,-,-,-,-,-,-,-
HUNTER CR,-,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.7,-0.8,-0.9,-0.1,-0.11
ILLINOIS R,4,-,-,-,7,4,-,-,-,-,-,-
INDIAN CR (SIUSLAW R),-,-,-,-,-,-,-,-,-,-,-,-
KILCHIS R,-,-,-,-,-,-,5,-,-,-,-,-
LAKE CR (SIUSLAW R),-,-,-,2,-,4,1,3,-,-,-,2
LOBSTER CR (ALSEA R),-,-,-,-,-,-,-,-,-,-,-,-
MIAMI R,-,-,-,-,-,-,-,-,6,-,-,-
MIDDLE CR (COQUILLE R),-,-,-,1,-,-,-,5,-,-,6,-
