Stream 1978,1979,1980,1981,1982,1983,1984,Unnamed: 0,1985,1986 1987,Unnamed: 1,1988,1989,1990,1991,1992,1993,1994
Alsea River & Bay 4,8,13,19,31,22,5,,16,0 7,,22,17,22,14,7,2,3
N. Fk. Alsea River 4,13,18,36,22,28,45,,28,29 25,,89,33,187,88,7,19,25
Chetco R. and Bay,,,,,,,,,--,,--,--,--,--,0,0,0
Coos River & Bay 0,5,0,79,190,22,32,,61,"2,364 3,685",,1729,1157,498,803,0,1,23
S. Fk. Coos River 0,10,0,12,11,5,8,,15,8 15,,32,51,21,16,3,23,4
Coquille River & Bay 0,17,5,24,22,22,19,,16,19 35,,41,58,65,105,123,148,108
S. Fk. Coquille River --,--,--,--,--,2,1,,8,2 2,,3,4,0,2,3,0,0
Elk River (Curry Co) --,--,--,--,6,0,0,,0,0 0,,0,0,0,0,,0,0
Illinois River 0,3,0,0,6,0,0,,0,0 0,,47,4,0,23,0,6,3
Kilchis River 94,22,6,0,6,0,9,,0,1 0,,16,4,1,3,0,0,6
Miami River 0,0,0,0,0,0,0,,0,4 0,,0,0,0,0,0,0,0
Millicoma River & Tribs. --,--,--,--,6,0,6,,10,36 37,,12,48,29,10,3,22,1
Nehalem R & Bay Below Elsie (a) --,--,--,--,--,--,--,,--,-- --,,--,114,213,392,466,365,644
Nehalem R & Bay Above Elsie (a),,,,,,,,,--,,--,--,--,--,20,0,8
Nestucca River & Bay 627,741,785,1306,644,567,432,,231,324 893,,1396,1297,1255,1525,952,1255,859
Little Nestucca River 6,0,4,2,4,1,5,,11,16 0,,0,0,0,0,0,0,0
Pistol River --,--,--,--,--,--,--,,--,-- --,,--,--,48,15,13,76,3
"Rogue River & Bay, Lower 6,683",11328,7711,6155,7165,2529,57,,1799,"4,646 3,483",,5932,7154,3915,2018,2269,6411,3748
"Rogue River, Upper --",--,--,--,--,--,941,,3830,"7,003 8,529",,13550,8636,4847,1473,437,3044,1908
Salmon River 5,8,22,21,16,2,34,,23,19 38,,63,18,21,28,38,20,0
Siletz River & Bay 47,58,18,65,42,68,62,,49,52 66,,129,140,237,128,223,180,125
Siuslaw River & Bay 0,0,46,103,0,0,0,,0,0 0,,0,0,0,0,0,0,0
Three Rivers --,--,--,--,--,--,--,,--,-- --,,--,55,60,131,17,58,6
Tillamook Bay 334,396,148,124,63,128,259,,207,41 349,,718,751,512,1068,692,762,427
Tillamook River 0,0,0,3,2,0,12,,5,14 4,,5,7,3,5,4,5,1
"Trask River 2,101",1541,1321,798,798,329,619,,285,415 426,,1965,865,965,949,685,759,231
"Umpqua River 1,008",1010,892,1125,1441,380,879,,944,725 886,,1209,1071,851,1147,738,1794,521
"N. Umpqua River, Lower 1,124",737,753,1056,848,468,235,,196,239 186,,324,393,217,185,54,183,66
"N. Umpqua River, Upper --",--,--,--,--,--,297,,965,"1,240 1,328",,1146,1629,974,412,371,923,345
S. Umpqua River 3,3,6,32,6,6,3,,31,4 0,,0,30,35,18,3,0,0
"Wilson River 1,004",469,122,187,232,237,54,,49,54 120,,189,149,180,148,128,227,127
Yaquina River & Bay 0,9,27,3,14,12,13,,14,12 21,,8,31,308,333,756,53,3
Unclassified (b) 44,12,18,5,74,40,62,,216,36 24,,232,25,39,26,15,26,22
Abernathy Creek (Clackamas R),3,0,6,3.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,9,0.9,0.1,4,3.2
Bullrun River,12,15,9,15,3,44,38,8,0,0,12,4,16,9,3,12,3
"Clackamas River, Lower",1122,1385,3778,3140,3338,4377,4472,2237,2828,3507,2595,2620,7171,5601,4043,4793,2394
"Clackamas River, Upper",--,--,--,--,--,--,161,55,78,121,46,78,111,76,131,16,0
Clatskanie River,--,--,--,--,--,--,--,--,--,--,--,--,55,36,0,12,0
"Columbia River, Lower",3668,902,1176,3274,2547,1142,942,765,2874,2862,4155,2313,8851,4335,3912,1438,1458
"Columbia River, Upper",X,X,X,X,X,X,X,X,X,X,16,8,0,0,0,0,6
Crabtree Creek (Santiam R),6,0,0,3,0,3,3,0,0,0,8,0,0,0,0,0,0
"Deschutes River, Lower",990,368,464,X,826,629,11,1514,567,1131,2334,2844,2138,1984,2640,869,0
"Deschutes River, Upper",--,--,--,--,--,--,0,0,4,18,23,6,15,11,2,0,0
Eagle Creek (Clackamas R),155,695,425,281,155,173,261,86,14,199,222,370,942,171,14,4,3
Eagle Creek (Columbia R),3,0,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0
Fall Creek (Willamette R),238,12,15,21,49,31,0,0,32,5,20,0,3,6,23,0,3
Fifteenmile Creek,0,6,6,0,10,16,3,0,0,0,0,0,0,0,0,0,0
Hood River,0,3,15,9,6,12,3,4,11,0,8,41,857,309,484,298,294
Hood R. Mouth to Powerdale Dam (a),,,,,,,,,,--,--,--,--,--,--,--,--
Hood R. Above Powerdale Dam (a),,,,,,,,,,--,--,--,--,--,--,--,--
Hood R. E. FK and W. Fk.,0,0,0,0,0,0,0,0,0,0,0,0,127,48,7,42,12
John Day R .N. Fk.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,0
"McKenzie River, Lower",924,312,384,493,627,206,567,459,354,1339,1133,1730,1387,1922,1195,1761,439
"McKenzie River, Upper",--,--,--,--,--,15,51,8,29,29,86,134,315,64,81,80,18
Molalla River,22,0,X,X,X,X,X,X,X,X,218,59,453,425,144,195,265
Sandy River Above Marmot Dam (b),--,--,--,--,--,--,--,--,--,--,50,63,145,202,683,436,143
Sandy River Below Marmot Dam (b),116,597,1260,1739,854,1259,1124,875,572,932,972,587,1897,1739,1537,1968,1176
Santiam River,103,81,194,98,235,114,66,121,101,243,263,291,225,286,466,334,129
