,Waterbody '07-08 '08-09 '09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17 '17-18 '18-19,,,,,
,Coastal River Systems,,,,,,,,,,,,
,ALSEA R & BAY---,-,-,-,-,-,13,7 14 11,,,,,
,N FK ALSEA---,-,-,-,-,-,6,---,,,,,
,S FK ALSEA---,-,-,-,-,-,-,7 --,,,,,
,APPLEGATE R104 63 61,85,105,78,71,161,61,12 38 -,,,,,
,BEAVER CR (LINC CO)---,-,-,-,-,-,-,---,,,,,
,BEAVER CR (TILL CO)4 --,4,-,-,19,-,1,14 --,,,,,
,BIG CR (LANE CO)---,-,-,-,-,-,-,---,,,,,
,BIG ELK CR (YAQUINA R)---,-,-,-,-,-,-,---,,,,,
,BRUSH CR (CURRY CO)---,-,-,-,-,-,-,---,,,,,
,CAPE CR---,-,-,-,-,-,-,---,,,,,
,CHETCO R & BAY---,-,-,-,-,-,-,---,,,,,
,COOK CR (NEHALEM R)---,-,-,-,-,-,3,---,,,,,
,COOS R & BAY---,-,-,-,-,-,-,---,,,,,
,S FK COOS---,-,-,-,-,-,-,---,,,,,
,COQUILLE R & BAY---,-,-,-,-,-,-,---,,,,,
,N FK COQUILLE---,-,-,-,-,-,-,---,,,,,
,E FK COQUILLE---,-,-,-,-,-,-,---,,,,,
,S FK COQUILLE---,-,-,-,-,-,-,---,,,,,
,MID FK COQUILLE---,-,-,-,-,-,-,---,,,,,
,CUMMINS CR---,-,-,-,-,-,-,---,,,,,
,DEVILS LK-4 -,-,4,-,-,-,-,---,,,,,
,DEADWOOD CR (SIUSLAW R)---,-,-,-,-,-,-,---,,,,,
,DRIFT CR (ALSEA R)3 -4,-,-,-,-,-,-,---,,,,,
,DRIFT CR (SILETZ R)2 7 4,-,12,1,45,-,13,---,,,,,
,EEL CR & LAKE---,-,-,-,-,-,-,---,,,,,
,ELK CR (CLATSOP CO)---,-,-,-,-,-,-,---,,,,,
,ELK R---,-,-,-,-,-,-,---,,,,,
,EUCHRE CR---,-,-,-,-,-,-,---,,,,,
,FALL CR (ALSEA R)---,-,-,-,-,-,-,---,,,,,
,FIVE R (ALSEA R)---,-,-,-,-,-,-,---,,,,,
,FLORAS CR & LK---,-,-,-,-,-,-,---,,,,,
,COW CREEK---,-,-,-,-,-,-,---,,,,,
,FOURMILE CR (COOS CO)---,-,-,-,-,-,-,---,,,,,
,HUNTER CR---,-,-,-,-,-,-,---,,,,,
,ILLINOIS R4 4 7,12,5,35,5,8,11,1 --,,,,,
,INDIAN CR (SIUSLAW R)---,-,-,-,-,-,-,---,,,,,
,KILCHIS R,10,3,7,3,7,11,6,16,21,1,1,-
,LAKE CR (SIUSLAW R),-,-,-,-,-,-,-,-,-,-,-,-
,LOBSTER CR (ALSEA R),-,-,-,-,-,-,-,-,-,-,-,-
,MIAMI R,-,-,-,-,-,-,-,-,-,-,-,-
,MIDDLE CR (COQUILLE R),-,-,-,-,-,-,-,-,-,-,-,-
,MILLICOMA R,-,-,-,-,-,-,-,-,-,-,-,-
,E FK MILLICOMA,-,-,-,-,-,-,-,-,-,-,-,-
,W FK MILLICOMA,-,-,-,-,-,-,-,-,-,-,-,-
,NECANICUM R,4,-,-,4,4,4,9,-,-,28,-,-
,NEHALEM R & BAY BELOW HWY 26/ELSIE,12,12,4,-,-,18,19,21,19,21,7,-
,N FK NEHALEM,-,2,4,4,4,20,2,-,19,14,7,-
,MUNSEL L,-,-,-,-,-,-,-,-,-,-,-,-
,NESTUCCA R & BAY,1110,451,427,557,649,1054,315,615,587,1030,631,429
,LITTLE NESTUCCA,1,-,-,4,7,18,5,22,-,7,-,11
,PISTOL R,-,-,-,-,-,-,-,-,-,-,-,-
,ROCK CR (LANE CO),-,-,-,-,-,-,-,-,-,-,-,-
,ROCK CR (NEHALEM),-,-,-,-,-,-,-,-,-,-,-,-
,ROCK CR (SILETZ R),-,-,-,-,-,-,-,-,-,-,-,-
,SOAPSTONE CR,-,-,-,-,-,-,-,-,-,-,-,-
,LOWER ROGUE RIVER & BAY,-,-,-,-,-,-,-,-,1,-,-,9
,SALMON R (COAST),58,4,12,10,37,75,4,21,35,7,5,22
,SALMONBERRY R,-,-,-,-,-,-,-,-,-,-,-,-
,SAND LAKE,-,-,-,-,-,-,-,-,-,-,-,-
,SCHOONER CR (SILETZ R),-,-,-,-,-,-,-,-,-,-,-,-
,SILETZ R & BAY,1447,1563,1757,1099,1209,2041,887,632,1157,1094,600,755
,N FK SILETZ,-,-,-,-,-,-,-,6,6,-,-,-
,S FK SILETZ,-,-,-,-,-,-,-,13,-,-,-,-
,SILTCOOS R & LK,-,-,-,-,-,-,-,-,-,-,-,-
,SIUSLAW R & BAY,-,-,-,-,-,-,-,-,6,14,-,33
,N FK SIUSLAW,-,-,-,-,-,-,-,-,-,-,-,-
,SIXES R,-,-,-,-,-,-,-,-,-,-,-,-
,SMITH R,-,-,-,-,-,-,-,-,-,-,-,-
,N FK SMITH,-,-,-,-,-,-,-,-,-,-,-,-
,SUTTON CR & LK,-,-,-,-,-,-,-,-,-,-,-,-
,SWEET CR (SIUSLAW R),-,-,-,-,-,-,-,-,-,-,-,-
,TAHKENITCH CR & LK,-,-,-,-,-,-,-,-,-,-,-,-
,TENMILE CR & LK (COOS CO),-,-,-,-,-,-,-,-,-,-,-,-
,TENMILE CR (LANE CO),-,-,-,-,-,-,-,-,-,-,-,-
,THREE R,9,5,17,133,100,338,126,225,157,409,215,126
,TILLAMOOK BAY,33,2,32,11,13,51,19,69,38,14,7,11
,TILLAMOOK R,-,-,-,-,-,2,-,-,1,-,7,33
,TRASK R,61,77,82,79,98,61,94,57,89,90,226,110
,N FK TRASK,3,10,2,8,-,-,6,-,3,1,7,-
,S FK TRASK,8,-,4,4,4,1,4,1,7,1,22,-
,UMPQUA R & BAY,248,177,81,83,75,72,107,129,105,83,113,29
,N FK UMPQUA BELOW WINCHESTER DAM,38,157,49,39,120,79,66,159,106,218,59,25
,S FK UMPQUA,-,-,-,-,-,-,-,-,-,-,-,-
,WILSON R,417,466,336,290,350,792,161,362,478,745,696,380
,S FK. WILSON R.,61,99,32,4,18,-,-,-,6,21,27,11
,LITTLE N FK (WILSON),-,1,-,11,-,-,5,-,-,-,20,-
,WINCHUCK R,-,-,-,-,-,-,-,-,-,-,-,-
,WOAHINK LK,-,-,-,-,-,-,-,-,-,-,-,-
,YACHATS R,-,-,-,-,-,-,-,-,-,-,-,-
,YAQUINA R & BAY,-,-,-,-,-,-,-,-,-,-,-,-
,TIOGA CR,-,-,-,-,-,-,-,-,-,-,-,-
,N FK UMPQUA-WINCHESTER DAM TO,,,,,,,,,,,,
,747,575,271,490,423,428,842,699,688,440,204,,
,NEHALEM R ABOVE HWY 26/ELSIE,-,-,-,-,-,-,-,-,-,-,14,-
,CALAPOOYA CR (UMPQUA R),-,-,-,-,-,-,-,-,-,-,-,-
,LITTLE R (N UMPQUA R),-,-,-,-,-,-,-,-,-,-,-,-
,N FK UMPQUA FROM ROCK CR TO SODA,,,,,,,,,,,,
,37,32,19,29,49,75,107,51,146,27,22,,
,NESKOWIN CR,-,-,-,-,-,-,-,-,-,-,34,11
,ROGUE BAY UP TO ELEPHANT ROCK,53,42,73,34,31,35,79,85,80,97,129,73
,ROGUE R FROM ELEPHANT ROCK TO,,,,,,,,,,,,
,278,437,610,502,522,489,652,648,637,341,210,,
,ROGUE R FROM GRAVE CR TO GOLD RAY,,,,,,,,,,,,
,343,986,554,758,911,669,996,633,750,767,689,,
,ISTHMUS SLOUGH,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
,Columbia River and Tributaries,,,,,,,,,,,,
,ABERNATHY CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
,ABIQUA CR (PUDDING R),12,4,-,-,-,-,-,-,-,-,-,-
