Stream,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,
Alsea River & Bay,49,32,39,86,45,22,77,34,28,0,0,0,0,18,36,11,
N. Fk. Alsea River,45,9,20,31,22,41,32,8,36,0,0,0,0,8,14,20,
S. Fk. Alsea River,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Applegate River,522,19,340,139,64,408,268,271,738,395,441,578,115,271,136,101,
Chetco River & Bay,0,0,0,0,4,14,9,47,0,0,0,0,0,0,0,0,
Coquille River & Bay,0,0,0,0,26,7,0,0,0,0,0,0,0,0,0,0,
Drift Creek (Siletz R),0,0,0,30,4,13,27,54,91,73,44,17,27,23,27,8,
Elk River (Curry Co),0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,
Illinois River,25,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,
Kilchis River,261,129,105,177,51,69,121,217,71,51,193,50,91,78,120,23,
Lake Creek (Siuslaw R),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Miami River,0,0,0,0,8,8,17,45,10,0,0,0,0,0,0,0,
Munsel Lake (Coos R),--,--,--,--,--,--,3,0,0,0,0,0,0,0,0,0,
Necanicum River,0,0,7,0,0,26,20,20,22,5,0,10,5,0,2,6,
Nehalem River & Bay Above Elsie (b),15,-,-,39,0,13,6,59,26,25,20,26,3,11,6,18,
Nehalem River & Bay Below Elsie (b),,,,,,,,,--,--,--,--,--,--,0,0,
N. Fk. Nehalem River,4,0,0,0,4,10,3,21,10,47,34,8,18,12,34,0,
Nestucca River & Bay,4391,2318,3846,5444,2924,1533,3650,4875,2067,1522,2541,1510,1588,1926,2132,780,
Little Nestucca River,106,41,59,56,16,26,40,55,19,9,5,4,4,2,4,2,
Pistol River,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,
Rock Creek (Siletz R),0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,
"Rogue R. & Bay, Lower",11202,14352,6795,9667,10059,3795,2999,5056,2799,3843,4265,4470,3143,1541,1171,1305,
"Rogue R., Upper b",--,--,--,--,--,278,1293,1313,1313,2544,2927,3309,2390,1316,858,2926,
Salmon River,155,87,194,428,148,105,303,324,325,347,233,114,52,127,98,34,
Siletz River & Bay,5300,2843,5165,7897,4357,2836,5350,4311,2123,1741,1220,786,1132,1481,1296,799,
N. Fk. Siletz River,244,140,276,427,277,69,260,36,207,107,66,46,49,137,188,37,
S. Fk. Siletz River,120,80,151,106,262,87,153,25,30,45,17,23,3,15,77,21,
Three Rivers,0,104,107,124,57,93,142,78,42,54,49,44,40,52,61,46,
Tillamook Bay,0,0,0,0,0,0,19,41,0,17,116,22,33,9,53,16,
Tillamook River,0,0,0,1,0,1,6,6,3,1,1,0,1,0,0,0,
Trask River,517,409,503,615,460,186,312,611,301,250,367,223,264,205,312,82,
