,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Run Year,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Stream,1978-79,1979-80,1980-81,1981-82,1982-83 1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1982-83,1983-84
Stream,Stream,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,,,,,,,,,,,,,,,,,,
Alsea River & Bay,Alsea River & Bay,3533,8124,5541,4310,1883,5278,8777,"4,926","3,890","3,908","2,103","2,015","1,033","1,606","1,194",846,,,,,,,,,,,,,,,,,,
N. Fk. Alsea River,N. Fk. Alsea River,526,2267,1213,1946,748,1734,2111,"1,056",923,773,725,411,275,236,426,254,,,,,,,,,,,,,,,,,,
S. Fk. Alsea River,S. Fk. Alsea River,119,285,69,40,41,108,96,69,137,173,95,161,106,130,145,27,,,,,,,,,,,,,,,,,,
Applegate River,Applegate River,1215,1031,559,191,85,618,648,399,"1,408","1,053",678,"1,542",389,762,365,313,,,,,,,,,,,,,,,,,,
Beaver Creek (Lincoln Co),Beaver Creek (Lincoln Co),11,20,3,13,4,0,19,8,16,5,20,14,22,8,0,0,,,,,,,,,,,,,,,,,,
Beaver Creek (Till. Co),Beaver Creek (Till. Co),30,29,13,0,7,10,23,20,39,23,35,91,19,8,0,17,,,,,,,,,,,,,,,,,,
Big Creek (Lane Co),Big Creek (Lane Co),75,148,121,224,119,171,62,69,166,113,52,110,49,14,22,13,,,,,,,,,,,,,,,,,,
Big Elk Creek (Yaquina R),Big Elk Creek (Yaquina R),492,1287,876,680,274,692,1256,488,660,454,264,257,364,381,232,153,,,,,,,,,,,,,,,,,,
Brush Creek (Curry Co),Brush Creek (Curry Co),6,3,0,5,4,7,13,12,5,9,4,13,19,15,4,0,,,,,,,,,,,,,,,,,,
Cape Creek (Lane Co),Cape Creek (Lane Co),20,65,33,77,34,20,24,28,45,18,40,10,6,42,30,0,,,,,,,,,,,,,,,,,,
Chetco River & Bay,Chetco River & Bay,2386,2145,3121,2495,788,2213,6147,"3,426","3,462","1,701","2,360","1,681","1,252","1,671","1,587","1,295",,,,,,,,,,,,,,,,,,
Cook Creek (Nehalem R),Cook Creek (Nehalem R),36,171,60,53,65,418,682,160,239,26,48,144,127,45,60,11,,,,,,,,,,,,,,,,,,
Coos River & Bay,Coos River & Bay,183,203,137,28,27,156,1242,209,258,140,43,93,74,122,36,127,,,,,,,,,,,,,,,,,,
S. Fk. Coos River,S. Fk. Coos River,840,1170,831,253,49,375,1512,683,700,416,322,508,508,563,294,692,,,,,,,,,,,,,,,,,,
Coquille River & Bay,Coquille River & Bay,878,2165,910,301,136,553,1815,702,841,442,442,761,"1,027",839,811,308,,,,,,,,,,,,,,,,,,
N. Fk. Coquille River,N. Fk. Coquille River,208,476,538,174,33,92,1811,580,944,618,726,668,748,"1,027",575,453,,,,,,,,,,,,,,,,,,
E. Fk. Coquille River,E. Fk. Coquille River,509,494,294,185,55,695,852,388,557,452,381,303,527,410,426,313,,,,,,,,,,,,,,,,,,
S. Fk. Coquille River,S. Fk. Coquille River,2485,3023,3367,2651,479,2923,4835,"2,476","1,935","1,325","1,632","3,282","2,468","2,096","1,764","1,111",,,,,,,,,,,,,,,,,,
Mid. Fk. Coquille R.,Mid. Fk. Coquille R.,155,206,354,103,51,170,150,66,102,113,79,118,93,258,134,14,,,,,,,,,,,,,,,,,,
Cow Creek (Umpqua R),Cow Creek (Umpqua R),--,--,--,--,--,27,86,0,31,38,103,40,0,68,75,30,,,,,,,,,,,,,,,,,,
Cummins Creek (Lane Co),Cummins Creek (Lane Co),13,23,29,8,0,3,8,0,4,0,0,4,6,4,0,0,,,,,,,,,,,,,,,,,,
D River & Devils Lake,D River & Devils Lake,3,13,0,10,4,3,0,0,15,10,12,4,0,0,4,0,,,,,,,,,,,,,,,,,,
Deadwood Cr. (Siuslaw R),Deadwood Cr. (Siuslaw R),20,23,35,44,4,24,38,4,4,4,8,14,12,3,4,0,,,,,,,,,,,,,,,,,,
Drift Creek (Alsea R),Drift Creek (Alsea R),110,229,308,143,62,298,166,160,267,165,52,49,57,17,8,3,,,,,,,,,,,,,,,,,,
Drift Creek (Siletz R),Drift Creek (Siletz R),798,1782,1251,801,377,465,876,389,715,637,233,188,237,74,86,54,,,,,,,,,,,,,,,,,,
Eel Lake (Tenmile Lakes),Eel Lake (Tenmile Lakes),3,6,0,0,7,7,0,8,4,14,16,3,3,11,8,6,,,,,,,,,,,,,,,,,,
Elk Creek (Clatsop Co),Elk Creek (Clatsop Co),10,20,13,12,14,10,18,16,29,9,32,0,19,3,64,0,,,,,,,,,,,,,,,,,,
Elk River (Curry Co),Elk River (Curry Co),834,871,622,682,220,458,857,485,582,245,357,247,303,286,375,477,,,,,,,,,,,,,,,,,,
Euchre Creek (Curry Co),Euchre Creek (Curry Co),48,33,173,29,18,6,79,12,46,20,16,23,29,7,20,30,,,,,,,,,,,,,,,,,,
Fall Creek (Alsea R),Fall Creek (Alsea R),74,39,62,206,89,79,28,27,76,25,36,51,13,4,8,0,,,,,,,,,,,,,,,,,,
Five Rivers (Alsea R),Five Rivers (Alsea R),12,39,56,58,24,64,99,46,48,70,32,37,9,18,4,0,,,,,,,,,,,,,,,,,,
Floras Cr. Lk. & New River,Floras Cr. Lk. & New River,259,341,344,194,110,166,635,259,310,271,147,133,148,185,131,90,,,,,,,,,,,,,,,,,,
Fourmile Creek (Coos Co),Fourmile Creek (Coos Co),10,19,37,8,0,6,11,0,9,5,0,7,6,7,8,0,,,,,,,,,,,,,,,,,,
Hunter Creek (Curry Co),Hunter Creek (Curry Co),158,175,380,62,82,33,222,92,77,0,0,166,122,64,121,73,,,,,,,,,,,,,,,,,,
Illinois River,Illinois River,638,534,1261,797,384,526,1150,606,995,403,550,233,171,18,12,14,,,,,,,,,,,,,,,,,,
Indian Creek (Siuslaw R),Indian Creek (Siuslaw R),28,36,104,44,24,24,22,31,43,9,20,50,26,7,20,0,,,,,,,,,,,,,,,,,,
Kilchis River,Kilchis River,1143.0,,,,,,,,,,,,,,,,,1454,1568,657,465,495,659,546,666,605,586,381,325,340,627,289,,
Lake Creek (Siuslaw R),Lake Creek (Siuslaw R),1271.0,,,,,,,,,,,,,,,,,630,2282,1330,1221,487,1206,494,524,712,507,492,460,397,495,174,,
Lobster Cr. (Alsea R),Lobster Cr. (Alsea R),18.0,,,,,,,,,,,,,,,,,0,51,41,14,0,34,4,5,8,4,11,3,0,0,9,,
Miami River,Miami River,691.0,,,,,,,,,,,,,,,,,448,1024,365,363,148,515,255,379,449,316,277,155,190,195,40,,
Middle Cr. (Coquille R),Middle Cr. (Coquille R),28.0,,,,,,,,,,,,,,,,,22,10,12,5,0,6,19,24,8,0,3,0,0,4,0,,
Millicoma River,Millicoma River,168.0,,,,,,,,,,,,,,,,,42,39,44,32,3,21,62,94,31,36,44,42,63,36,38,,
E. Fk. Millicoma River,E. Fk. Millicoma River,779.0,,,,,,,,,,,,,,,,,96,52,79,103,51,237,433,318,184,192,224,256,272,221,484,,
W. Fk. Millicoma River,W. Fk. Millicoma River,1414.0,,,,,,,,,,,,,,,,,1198,980,999,461,104,275,544,479,577,420,570,413,444,501,321,,
Munsel Lake (Coos R),Munsel Lake (Coos R),15.0,,,,,,,,,,,,,,,,,--,--,--,--,--,9,4,0,0,12,30,0,18,4,16,,
Necanicum River,Necanicum River,2935.0,,,,,,,,,,,,,,,,,1491,3543,2110,1205,900,1273,"1,526","2,263","2,634","1,458","1,394","1,148","1,204","1,685",638,,
Nehalem River & Bay Above Elsie (a),Nehalem River & Bay Above Elsie (a),,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,39,142,20,,
Nehalem River & Bay Below Elsie (a),Nehalem River & Bay Below Elsie (a),4973.0,,,,,,,,,,,,,,,,,1558,2702,2344,929,899,3009,"1,417","1,967","1,634","1,218","1,171","1,005",488,911,234,,
N. Fk. Nehalem River,N. Fk. Nehalem River,4435.0,,,,,,,,,,,,,,,,,1023,3251,1573,1022,1348,4538,"1,587","3,468","1,779","1,505","2,509","1,244","1,507","2,738",755,,
Neskowin Creek,Neskowin Creek,,,,,,,,,,,,,,,,,,68,49,76,34,0 X,X,X,X,X,X,X,X,X,0,0,,
Nestucca River & Bay,Nestucca River & Bay,7572.0,,,,,,,,,,,,,,,,,7969,12370,8265,7591,2921,5869,"5,174","5,234","4,972","2,811","2,693","2,465","2,841","1,333",831,,
Little Nestucca River,Little Nestucca River,1067.0,,,,,,,,,,,,,,,,,754,1184,840,718,522,855,624,498,455,231,273,172,137,246,91,,
Pistol River,Pistol River,374.0,,,,,,,,,,,,,,,,,242,170,220,130,87,65,164,73,78,65,171,202,251,169,99,,
Rock Creek (Lane Co),Rock Creek (Lane Co),0.0,,,,,,,,,,,,,,,,,0,9,7,18,3,6,8,10,0,0,0,3,4,4,3,,
Rock Creek (Nehalem R),Rock Creek (Nehalem R),16.0,,,,,,,,,,,,,,,,,7,23,0,22,11,27,57,101,33,56,43,12,43,140,40,,
Rock Creek (Siletz R),Rock Creek (Siletz R),24.0,,,,,,,,,,,,,,,,,51,30,0,65,25,44,83,27,18,4,10,3,7,0,7,,
Little Rock Creek,Little Rock Creek,11.0,,,,,,,,,,,,,,,,,0,0,14,5,0,3,12,5,4,8,39,0,0,0,0,,
"Rogue R. & Bay, Lower","Rogue R. & Bay, Lower",6022.0,,,,,,,,,,,,,,,,,8067,4783,3688,2077,2992,298,"4,465","6,141","4,646","6,228","9,441","2,996","3,629","2,805","2,429",,
"Rogue River, Upper","Rogue River, Upper",782.0,,,,,,,,,,,,,,,,,--,--,--,--,--,768,558,"1,001","1,277",855,"1,355",551,474,438,693,,
Salmon River,Salmon River,3545.0,,,,,,,,,,,,,,,,,1259,2836,1672,1776,1075,1265,"1,074","1,141","1,465",672,796,751,670,437,255,,
Salmonberry River,Salmonberry River,56.0,,,,,,,,,,,,,,,,,62,131,106,64,67,117,61,82,99,51,40,73,17,6,4,,
Sand Lake (Till. Co),Sand Lake (Till. Co),11.0,,,,,,,,,,,,,,,,,24,51,3,29,11,10,16,18,4,0,0,6,13,4,0,,
Schooner Creek,Schooner Creek,22.0,,,,,,,,,,,,,,,,,66,142,64,56,21,78,12,13,18,8,3,3,6,8,3,,
Siletz River & Bay,Siletz River & Bay,6909.0,,,,,,,,,,,,,,,,,4968,7036,4512,3679,1847,4485,"2,763","2,997","3,859","1,467","2,112","2,041","1,303","1,476","1,047",,
N. Fk. Siletz River,N. Fk. Siletz River,453.0,,,,,,,,,,,,,,,,,282,200,391,180,162,192,216,186,215,144,44,89,70,86,54,,
S. Fk. Siletz River,S. Fk. Siletz River,209.0,,,,,,,,,,,,,,,,,142,237,212,86,242,177,203,86,127,64,23,26,50,49,25,,
Siltcoos River & Lake,Siltcoos River & Lake,48.0,,,,,,,,,,,,,,,,,35,83,50,31,8,37,63,65,65,32,23,10,7,4,6,,
Siuslaw River & Bay,Siuslaw River & Bay,4217.0,,,,,,,,,,,,,,,,,2327,4955,3080,2250,922,1965,"2,126","1,698","2,532","1,008","1,255","1,328","1,191",831,680,,
N. Fk. Siuslaw River,N. Fk. Siuslaw River,575.0,,,,,,,,,,,,,,,,,112,366,179,176,65,220,215,244,213,88,179,110,124,88,61,,
Sixes River,Sixes River,570.0,,,,,,,,,,,,,,,,,317,530,516,206,133,156,330,231,159,126,184,208,284,294,143,,
Slick Rock Cr. (Salmon R),Slick Rock Cr. (Salmon R),,,,,,,,,,,,,,,,,,17,43,20,18,17,0 X,X,X,X,X,X,X,X,X,0,,
Smith River,Smith River,2357.0,,,,,,,,,,,,,,,,,957,1333,1171,1071,516,937,"1,518",744,"1,152",610,406,449,237,279,379,,
N. Fk. Smith River,N. Fk. Smith River,794.0,,,,,,,,,,,,,,,,,108,147,228,455,157,289,332,251,291,191,221,215,103,144,25,,
Sutton Creek & Lake,Sutton Creek & Lake,14.0,,,,,,,,,,,,,,,,,29,13,16,15,14,44,15,10,9,0,10,9,4,0,7,,
Sweet Creek (Siuslaw R),Sweet Creek (Siuslaw R),32.0,,,,,,,,,,,,,,,,,105,144,134,74,18,101,11,20,20,16,6,3,3,0,3,,
