,Unnamed: 0,"Sport catch of winter steelhead in Oregon streams and rivers, 1995-2007",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Code,Waterbody,'95-96,'96-97,'97-98,'98-99,'99-00,'00-01,'01-02,'02-03,'03-04,'04-05,'05-06,'06-07
,,,,,,,,Run Year,,,,,,,,,,,,,,,,,,,,
Code,Code,Waterbody,'95-96,'96-97,'97-98,'98-99,'99-00,'00-01,'01-02,'02-03,'03-04,'04-05,'05-06,'06-07,,,,,,,,,,,,,,
,,Coastal River Systems,,,,,,,,,,,,,,,,,,,,,,,,,,
021,021,ALSEA R & BAY,747,899,390,581,964,924,1689,588,1329,1384,638,617,,,,,,,,,,,,,,
022,022,N FK ALSEA,476,912,720,923,700,503,1667,1207,3365,992,1668,1401,,,,,,,,,,,,,,
023,023,S FK ALSEA,30,43,36,18,22,10,58,24,26,19,37,19,,,,,,,,,,,,,,
024,024,APPLEGATE R,396,1077,119,116,123,40,367,78,160,73,142,225,,,,,,,,,,,,,,
025,025,BEAVER CR (LINC CO),24,16,6,3,10,0,15,12,3,8,4,8,,,,,,,,,,,,,,
026,026,BEAVER CR (TILL CO),33,18,9,8,17,6,11,4,10,18,0,6,,,,,,,,,,,,,,
027,027,BIG CR (LANE CO),22,45,33,39,10,10,42,15,27,26,30,23,,,,,,,,,,,,,,
028,028,BIG ELK CR (YAQUINA R),342,209,89,153,263,147,383,106,288,137,105,135,,,,,,,,,,,,,,
029,029,BRUSH CR (CURRY CO),31,27,12,51,10,4,6,0,3,17,7,8,,,,,,,,,,,,,,
030,030,CAPE CR,27,25,6,3,7,12,15,6,29,0,8,4,,,,,,,,,,,,,,
031,031,CHETCO R & BAY,1243,1904,1424,751,619,543,1263,1462,1476,2451,1893,2352,,,,,,,,,,,,,,
032,032,COOK CR (NEHALEM R),9,9,9,3,4,0,9,5,15,4,16,19,,,,,,,,,,,,,,
033,033,COOS R & BAY,66,116,103,67,58,40,201,94,99,73,102,116,,,,,,,,,,,,,,
034,034,S FK COOS,648,839,336,547,492,213,917,431,509,774,480,712,,,,,,,,,,,,,,
035,035,COQUILLE R & BAY,385,423,220,140,165,128,375,146,229,225,164,272,,,,,,,,,,,,,,
036,036,N FK COQUILLE,355,463,225,481,202,144,359,463,410,151,490,397,,,,,,,,,,,,,,
037,037,E FK COQUILLE,553,810,452,158,167,96,288,294,326,158,376,210,,,,,,,,,,,,,,
