,Unnamed: 0,"Sport catch of Summer Steelhead in Oregon streams and rivers, 2007-2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,,,,Run Year,,,,
1,,,,,,,,,(2018-2019 numbers are 'Preliminary')
2,Code,Waterbody '07-08 '08-09 '09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17 '17-18 '18-19
3,,Coastal River Systems,,,,,,,
4,21,ALSEA R & BAY---,-,-,-,-,-,13,7 14 11
5,22,N FK ALSEA---,-,-,-,-,-,6,---
6,23,S FK ALSEA---,-,-,-,-,-,-,7 --
7,24,APPLEGATE R104 63 61,85,105,78,71,161,61,12 38 -
8,25,BEAVER CR (LINC CO)---,-,-,-,-,-,-,---
9,26,BEAVER CR (TILL CO)4 --,4,-,-,19,-,1,14 --
10,27,BIG CR (LANE CO)---,-,-,-,-,-,-,---
11,28,BIG ELK CR (YAQUINA R)---,-,-,-,-,-,-,---
12,29,BRUSH CR (CURRY CO)---,-,-,-,-,-,-,---
13,30,CAPE CR---,-,-,-,-,-,-,---
14,31,CHETCO R & BAY---,-,-,-,-,-,-,---
15,32,COOK CR (NEHALEM R)---,-,-,-,-,-,3,---
16,33,COOS R & BAY---,-,-,-,-,-,-,---
17,34,S FK COOS---,-,-,-,-,-,-,---
18,35,COQUILLE R & BAY---,-,-,-,-,-,-,---
19,36,N FK COQUILLE---,-,-,-,-,-,-,---
20,37,E FK COQUILLE---,-,-,-,-,-,-,---
21,38,S FK COQUILLE---,-,-,-,-,-,-,---
22,39,MID FK COQUILLE---,-,-,-,-,-,-,---
23,40,CUMMINS CR---,-,-,-,-,-,-,---
24,41,DEVILS LK-4 -,-,4,-,-,-,-,---
25,42,DEADWOOD CR (SIUSLAW R)---,-,-,-,-,-,-,---
26,43,DRIFT CR (ALSEA R)3 -4,-,-,-,-,-,-,---
27,44,DRIFT CR (SILETZ R)2 7 4,-,12,1,45,-,13,---
28,45,EEL CR & LAKE---,-,-,-,-,-,-,---
29,46,ELK CR (CLATSOP CO)---,-,-,-,-,-,-,---
30,47,ELK R---,-,-,-,-,-,-,---
31,48,EUCHRE CR---,-,-,-,-,-,-,---
32,49,FALL CR (ALSEA R)---,-,-,-,-,-,-,---
33,50,FIVE R (ALSEA R)---,-,-,-,-,-,-,---
34,51,FLORAS CR & LK---,-,-,-,-,-,-,---
35,52,COW CREEK---,-,-,-,-,-,-,---
36,53,FOURMILE CR (COOS CO)---,-,-,-,-,-,-,---
37,54,HUNTER CR---,-,-,-,-,-,-,---
38,55,ILLINOIS R4 4 7,12,5,35,5,8,11,1 --
39,56,INDIAN CR (SIUSLAW R)---,-,-,-,-,-,-,---
