,Code,Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19
0,98.0,TILLAMOOK R,-,-,-,-,-,2,-,-,1,-,7,33
1,99.0,TRASK R,61,77,82,79,98,61,94,57,89,90,226,110
2,100.0,N FK TRASK,3,10,2,8,-,-,6,-,3,1,7,-
3,101.0,S FK TRASK,8,-,4,4,4,1,4,1,7,1,22,-
4,102.0,UMPQUA R & BAY,248,177,81,83,75,72,107,129,105,83,113,29
5,103.0,N FK UMPQUA BELOW WINCHESTER DAM,38,157,49,39,120,79,66,159,106,218,59,25
6,104.0,S FK UMPQUA,-,-,-,-,-,-,-,-,-,-,-,-
7,105.0,WILSON R,417,466,336,290,350,792,161,362,478,745,696,380
8,106.0,S FK. WILSON R.,61,99,32,4,18,-,-,-,6,21,27,11
9,107.0,LITTLE N FK (WILSON),-,1,-,11,-,-,5,-,-,-,20,-
10,108.0,WINCHUCK R,-,-,-,-,-,-,-,-,-,-,-,-
11,109.0,WOAHINK LK,-,-,-,-,-,-,-,-,-,-,-,-
12,110.0,YACHATS R,-,-,-,-,-,-,-,-,-,-,-,-
13,111.0,YAQUINA R & BAY,-,-,-,-,-,-,-,-,-,-,-,-
14,194.0,TIOGA CR,-,-,-,-,-,-,-,-,-,-,-,-
15,201.0,N FK UMPQUA-WINCHESTER DAM TOROCK CR,648,747,575,271,490,423,428,842,699,688,440,204
16,204.0,NEHALEM R ABOVE HWY 26/ELSIE,-,-,-,-,-,-,-,-,-,-,14,-
17,206.0,CALAPOOYA CR (UMPQUA R),-,-,-,-,-,-,-,-,-,-,-,-
18,207.0,LITTLE R (N UMPQUA R),-,-,-,-,-,-,-,-,-,-,-,-
19,219.0,N FK UMPQUA FROM ROCK CR TO SODASPR (FLY AREA),65,37,32,19,29,49,75,107,51,146,27,22
20,224.0,NESKOWIN CR,-,-,-,-,-,-,-,-,-,-,34,11
21,225.0,ROGUE BAY UP TO ELEPHANT ROCK,53,42,73,34,31,35,79,85,80,97,129,73
22,226.0,ROGUE R FROM ELEPHANT ROCK TOGRAVE CR,428,278,437,610,502,522,489,652,648,637,341,210
23,227.0,ROGUE R FROM GRAVE CR TO GOLD RAYDAM,304,343,986,554,758,911,669,996,633,750,767,689
24,240.0,ISTHMUS SLOUGH,-,-,-,-,-,-,-,-,-,-,-,-
25,,,,,,,,,,,,,,
26,,Columbia River and Tributaries,,,,,,,,,,,,
27,112.0,ABERNATHY CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
28,113.0,ABIQUA CR (PUDDING R),12,4,-,-,-,-,-,-,-,-,-,-
29,114.0,BEAR CR (CLATSOP CO),4,-,-,-,-,-,-,-,-,-,-,-
30,115.0,BEAVER CR (COL CO),24,-,-,-,11,-,-,-,-,21,7,-
31,116.0,BIG CR (CLATSOP CO),24,25,16,7,27,15,-,5,-,14,37,11
32,117.0,BULLRUN R,-,-,8,-,-,9,-,-,-,-,-,-
33,118.0,BUTTE CR (PUDDING R),12,-,-,-,-,-,-,-,6,-,-,-
34,119.0,CALAPOOIA R,-,-,-,-,-,-,-,-,-,-,-,-
35,120.0,CATHERINE CR,-,-,-,-,-,-,-,-,6,7,-,-
36,122.0,CLACKAMAS R BELOW CARVER BRIDGE,"2,013","1,895","2,027","1,498",316,559,352,582,259,483,147,176
